block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,-0.0030464327428489923,0.2486267387866974,1.0278226137161255,0.25560444593429565,0
1,3,6,3,dispatch_decision_block,-0.009858505800366402,0.19687551259994507,1.0102125406265259,0.21450482308864594,0
2,6,9,3,dispatch_decision_block,0.000663893239106983,0.34570440649986267,1.067620038986206,0.4443614184856415,0
3,9,12,3,dispatch_decision_block,-0.12860187888145447,0.6224262714385986,1.0570306777954102,0.6528403759002686,0
4,12,15,3,dispatch_decision_block,-0.0898449495434761,0.4342295527458191,1.0053292512893677,0.46461817622184753,0
5,15,18,3,dispatch_decision_block,-0.0022669655736535788,0.22801336646080017,1.0264790058135986,0.28296858072280884,0
6,18,21,3,dispatch_decision_block,0.0013977170456200838,0.2674514949321747,1.040442705154419,0.3138319253921509,0
7,21,24,3,dispatch_decision_block,-0.16890043020248413,0.6255556344985962,1.0281105041503906,0.7285524606704712,0
8,24,27,3,dispatch_decision_block,0.01887413300573826,0.2883448302745819,1.0696699619293213,0.41473063826560974,0
9,27,30,3,dispatch_decision_block,-0.06703005731105804,0.47338563203811646,1.0360652208328247,0.46449118852615356,0
10,30,33,3,dispatch_decision_block,-0.009022381156682968,0.3428187072277069,1.0477603673934937,0.3472914397716522,0
11,33,36,3,dispatch_decision_block,-0.11028899997472763,0.5664610266685486,1.0529069900512695,0.6406183242797852,0
12,36,39,3,dispatch_decision_block,-0.08147131651639938,0.545390248298645,1.066598892211914,0.6183950901031494,0
13,39,42,3,dispatch_decision_block,-0.002609159331768751,0.18213693797588348,1.015498161315918,0.2151319682598114,0
14,42,45,3,dispatch_decision_block,-0.11084070056676865,0.6777099967002869,1.1243295669555664,0.8702625036239624,0
15,45,48,3,dispatch_decision_block,-0.004985846113413572,0.41405221819877625,1.0800226926803589,0.43221500515937805,0
16,48,51,3,dispatch_decision_block,-0.05418238788843155,0.3294001519680023,0.9987314343452454,0.3587287962436676,0
17,51,54,3,dispatch_decision_block,-0.08096442371606827,0.5453475713729858,1.0620802640914917,0.5922268033027649,0
18,54,57,3,dispatch_decision_block,-0.15401549637317657,0.678820013999939,1.0867984294891357,0.9075210094451904,0
19,57,60,3,dispatch_decision_block,-0.09100484848022461,0.5842131972312927,1.0836029052734375,0.7072118520736694,0
20,60,63,3,dispatch_decision_block,-0.08919265121221542,0.3556510806083679,0.9771530032157898,0.39024513959884644,0
21,63,66,3,dispatch_decision_block,-0.07849366962909698,0.5537669658660889,1.075426697731018,0.6735399961471558,0
