block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,-0.027310524135828018,0.17903240025043488,0.9887403845787048,0.17820213735103607,0
1,3,6,3,dispatch_decision_block,-0.05159875005483627,0.24293753504753113,0.9787382483482361,0.24990427494049072,0
2,6,9,3,dispatch_decision_block,-0.0228530652821064,0.2556920647621155,1.0088632106781006,0.25433292984962463,0
3,9,12,3,dispatch_decision_block,-0.049452487379312515,0.2578164339065552,0.9831403493881226,0.24794895946979523,0
4,12,15,3,dispatch_decision_block,-0.0620884895324707,0.261449933052063,0.9718217253684998,0.25345125794410706,0
5,15,18,3,dispatch_decision_block,-0.04169759154319763,0.23256926238536835,0.985126793384552,0.22745509445667267,0
6,18,21,3,dispatch_decision_block,-0.020255647599697113,0.24094755947589874,1.0093263387680054,0.2543335258960724,0
7,21,24,3,dispatch_decision_block,-0.04653049632906914,0.2666993737220764,0.9882580041885376,0.2608577311038971,0
8,24,27,3,dispatch_decision_block,-0.02409103699028492,0.20880550146102905,0.9976858496665955,0.21091488003730774,0
9,27,30,3,dispatch_decision_block,-0.09855952858924866,0.2512754499912262,0.933886706829071,0.22249791026115417,0
10,30,33,3,dispatch_decision_block,-0.039072293788194656,0.21485987305641174,0.9835932850837708,0.20635724067687988,0
11,33,36,3,dispatch_decision_block,-0.035520464181900024,0.22950944304466248,0.9909819960594177,0.23319925367832184,0
12,36,39,3,dispatch_decision_block,-0.03521381691098213,0.25172150135040283,0.9973013401031494,0.26937031745910645,0
13,39,42,3,dispatch_decision_block,-0.053777456283569336,0.22883130609989166,0.9719415903091431,0.21514856815338135,0
14,42,45,3,dispatch_decision_block,-0.07361391186714172,0.30728474259376526,0.9702014923095703,0.2743629813194275,0
15,45,48,3,dispatch_decision_block,-0.010245212353765965,0.25123971700668335,1.022714614868164,0.2778702974319458,0
16,48,51,3,dispatch_decision_block,-0.058916375041007996,0.2130289226770401,0.963421106338501,0.19504660367965698,0
17,51,54,3,dispatch_decision_block,-0.02126157283782959,0.21912862360477448,1.0030792951583862,0.22736087441444397,0
18,54,57,3,dispatch_decision_block,-0.050572071224451065,0.21073220670223236,0.9714640974998474,0.20083577930927277,0
19,57,60,3,dispatch_decision_block,-0.024632101878523827,0.19869600236415863,0.9947327375411987,0.19343650341033936,0
20,60,63,3,dispatch_decision_block,-0.07204995304346085,0.27803733944892883,0.9668995141983032,0.26985374093055725,0
21,63,66,3,dispatch_decision_block,-0.037860944867134094,0.33195585012435913,1.0166218280792236,0.3453821539878845,0
