bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.9817774295806885,-0.019042104482650757,-0.018222512677311897,0.0,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.15835189819336,0.981761634349823,-0.019459716975688934,-0.018238430842757225,0.0,1
high_positive,2,18.499996185302734,0.9242439270019531,-0.08255841583013535,-0.07575610280036926,0.0,2
mid_positive,6,9.413443565368652,0.9661603569984436,-0.035311903804540634,-0.033839594572782516,0.0,2
near_zero,6,-0.43501797318458557,1.0034481287002563,0.003144095418974757,0.0034481287002563477,0.0,2
negative,86,-20.906789779663086,0.9713956117630005,-0.031036298722028732,-0.028604423627257347,0.023255813866853714,2
high_positive,4,27.999324798583984,0.9636511206626892,-0.03868413716554642,-0.03634890913963318,0.0,3
mid_positive,12,9.783313751220703,0.9720119833946228,-0.03418553248047829,-0.02798798680305481,0.0833333358168602,3
near_zero,3,-0.43433690071105957,1.0717023611068726,0.06892642378807068,0.07170232385396957,0.0,3
negative,81,-21.436962127685547,0.997314989566803,-0.006916350219398737,-0.0026850083377212286,0.03703703731298447,3
high_positive,3,32.375823974609375,0.9232789874076843,-0.08353859931230545,-0.07672099024057388,0.0,4
mid_positive,6,12.22018814086914,1.0026211738586426,0.0013241436099633574,0.0026211142539978027,0.0,4
near_zero,4,1.0371850728988647,0.9933700561523438,-0.007090249098837376,-0.00662994384765625,0.0,4
negative,87,-34.53335952758789,0.9964238405227661,-0.005224504508078098,-0.003576112212613225,0.0,4
