block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.009999999776482582,-0.09481050819158554,0.4672052264213562,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.17000000178813934,-0.11446830630302429,0.6198055744171143,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.009999999776482582,-0.14796121418476105,0.43683552742004395,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.10999999940395355,-0.08670318871736526,0.3426556885242462,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.2199999988079071,-0.07658404111862183,0.3771316111087799,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.009999999776482582,-0.1401539444923401,0.3118096590042114,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.20000000298023224,-0.17645929753780365,0.5296656489372253,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.3400000035762787,-0.22752603888511658,0.5463795065879822,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.09000000357627869,-0.12118081748485565,0.4518425464630127,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.8500000238418579,-0.16733641922473907,0.5573068857192993,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.75,-0.1906614899635315,0.7884454727172852,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.5799999833106995,-0.1712944060564041,0.6222552061080933,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.05999999865889549,-0.04543132334947586,0.39018696546554565,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.12999999523162842,-0.14933210611343384,0.35562872886657715,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.019999999552965164,-0.08577097207307816,0.3182756304740906,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.23000000417232513,-0.12654323875904083,0.5753844976425171,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.25,-0.25101417303085327,0.6154146790504456,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.019999999552965164,-0.0946948453783989,0.2868761420249939,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.14000000059604645,-0.18018843233585358,0.5342696309089661,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.0,-0.049128759652376175,0.288312703371048,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.09000000357627869,-0.11014585196971893,0.5151081681251526,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.6800000071525574,-0.2343926876783371,0.5200663805007935,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.11999999731779099,-0.15743198990821838,0.431119441986084,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.10999999940395355,-0.1923980563879013,0.40649712085723877,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.20000000298023224,-0.09880726784467697,0.42011237144470215,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.10000000149011612,-0.030041825026273727,0.41690829396247864,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.27000001072883606,-0.057335272431373596,0.49230194091796875,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.36000001430511475,-0.13967815041542053,0.41401737928390503,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.2800000011920929,-0.06587491184473038,0.41496819257736206,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,1.0,0.0,1.0,1.0,0.20000000298023224,-0.1236884668469429,0.403346985578537,1
