block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,1.0,0.0,1.0,1.0,0.009999999776482582,-0.09481050819158554,0.4672052264213562,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,1.0,0.0,1.0,1.0,0.17000000178813934,-0.11446830630302429,0.6198055744171143,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,1.0,0.0,1.0,1.0,0.009999999776482582,-0.14796121418476105,0.43683552742004395,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,1.0,0.0,1.0,1.0,0.10999999940395355,-0.08670318871736526,0.3426556885242462,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,1.0,0.0,1.0,1.0,0.2199999988079071,-0.07658404111862183,0.3771316111087799,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,1.0,0.0,1.0,1.0,0.009999999776482582,-0.1401539444923401,0.3118096590042114,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,1.0,0.0,1.0,1.0,0.20000000298023224,-0.17645929753780365,0.5296656489372253,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,1.0,0.0,1.0,1.0,0.3400000035762787,-0.22752603888511658,0.5463795065879822,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,1.0,0.0,1.0,1.0,0.09000000357627869,-0.12118081748485565,0.4518425464630127,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,1.0,0.0,1.0,1.0,0.8500000238418579,-0.16733641922473907,0.5573068857192993,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.3211597204208374,0.15618033707141876,0.5944252014160156,-0.30546993017196655,1.0,0.0,1.0,1.0,0.75,-0.1906614899635315,0.7884454727172852,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.165766179561615,0.11848033219575882,0.1336965709924698,-0.5775590538978577,1.0,0.0,1.0,1.0,0.5799999833106995,-0.1712944060564041,0.6222552061080933,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.23721881210803986,0.1236725002527237,0.11257962882518768,-0.4642137289047241,1.0,0.0,1.0,1.0,0.05999999865889549,-0.04543132334947586,0.39018696546554565,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.3292800188064575,0.10711941123008728,-0.0071050673723220825,-0.592166543006897,1.0,0.0,1.0,1.0,0.12999999523162842,-0.14933210611343384,0.35562872886657715,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.21376024186611176,0.12934209406375885,0.4936692714691162,-0.3244205415248871,1.0,0.0,1.0,1.0,0.019999999552965164,-0.08577097207307816,0.3182756304740906,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.06300709396600723,0.113146111369133,0.36460089683532715,-0.2955993115901947,1.0,0.0,1.0,1.0,0.23000000417232513,-0.12654323875904083,0.5753844976425171,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.11890332400798798,0.11777718365192413,0.42801886796951294,-0.17303255200386047,1.0,0.0,1.0,1.0,0.25,-0.25101417303085327,0.6154146790504456,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.3622022271156311,0.10928300768136978,-0.019393891096115112,-0.6024869680404663,1.0,0.0,1.0,1.0,0.019999999552965164,-0.0946948453783989,0.2868761420249939,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.31953534483909607,0.13784906268119812,0.007083132863044739,-0.662062406539917,1.0,0.0,1.0,1.0,0.14000000059604645,-0.18018843233585358,0.5342696309089661,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.24451476335525513,0.10551151633262634,0.06609270721673965,-0.5332699418067932,1.0,0.0,1.0,1.0,0.0,-0.049128759652376175,0.288312703371048,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.044210921972990036,0.10638957470655441,0.33551105856895447,-0.24169209599494934,1.0,0.0,1.0,1.0,0.09000000357627869,-0.11014585196971893,0.5151081681251526,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.13182231783866882,0.13986998796463013,0.4909946024417877,-0.2668205201625824,1.0,0.0,1.0,1.0,0.6800000071525574,-0.2343926876783371,0.5200663805007935,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.05076754465699196,0.09358817338943481,0.3362531065940857,-0.2559983730316162,1.0,0.0,1.0,1.0,0.11999999731779099,-0.15743198990821838,0.431119441986084,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.010430736467242241,0.11754345893859863,0.24686367809772491,-0.2597771883010864,1.0,0.0,1.0,1.0,0.10999999940395355,-0.1923980563879013,0.40649712085723877,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.07001634687185287,0.0680222362279892,0.44884875416755676,-0.14248260855674744,1.0,0.0,1.0,1.0,0.20000000298023224,-0.09880726784467697,0.42011237144470215,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.2862849831581116,0.1543387621641159,0.35305264592170715,-0.5738607048988342,1.0,0.0,1.0,1.0,0.10000000149011612,-0.030041825026273727,0.41690829396247864,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.33309224247932434,0.13846100866794586,0.3890242576599121,-0.5191411375999451,1.0,0.0,1.0,1.0,0.27000001072883606,-0.057335272431373596,0.49230194091796875,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.12080961465835571,0.10174137353897095,0.16698849201202393,-0.3215487599372864,1.0,0.0,1.0,1.0,0.36000001430511475,-0.13967815041542053,0.41401737928390503,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.08146019279956818,0.08341777324676514,0.2995022237300873,-0.12850306928157806,1.0,0.0,1.0,1.0,0.2800000011920929,-0.06587491184473038,0.41496819257736206,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.1582186371088028,0.07858587801456451,0.48505526781082153,-0.11094380915164948,1.0,0.0,1.0,1.0,0.20000000298023224,-0.1236884668469429,0.403346985578537,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.014679851941764355,0.09718652069568634,0.2928769290447235,-0.3353322446346283,1.0,0.0,1.0,1.0,0.20000000298023224,-0.0900614932179451,0.4602644443511963,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.004074151627719402,0.1310999095439911,0.35996586084365845,-0.3153146207332611,1.0,0.0,1.0,1.0,0.18000000715255737,-0.01886652037501335,0.4907039403915405,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.0064943041652441025,0.17257143557071686,0.3291689157485962,-0.5103789567947388,1.0,0.0,1.0,1.0,0.33000001311302185,-0.12555523216724396,0.6101904511451721,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.00835363008081913,0.08615585416555405,0.32556623220443726,-0.3565571904182434,1.0,0.0,1.0,1.0,0.15000000596046448,-0.06006748974323273,0.3867294490337372,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.23177450895309448,0.16637864708900452,0.5115649700164795,-0.6387453675270081,1.0,0.0,1.0,1.0,0.38999998569488525,-0.10748506337404251,0.5401874780654907,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.11775097250938416,0.10280094295740128,0.06717601418495178,-0.5175067782402039,1.0,0.0,1.0,1.0,0.20000000298023224,-0.1750016063451767,0.4181005358695984,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.3152676522731781,0.0764414370059967,-0.07172152400016785,-0.49238505959510803,1.0,0.0,1.0,1.0,0.38999998569488525,-0.10675358772277832,0.4863869249820709,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.14498476684093475,0.1198294386267662,0.28600674867630005,-0.4648364186286926,1.0,0.0,1.0,1.0,0.25,-0.10143282264471054,0.5555870532989502,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.10268663614988327,0.09701383113861084,0.3508298099040985,-0.22644376754760742,1.0,0.0,1.0,1.0,0.10999999940395355,-0.11047881841659546,0.4082805812358856,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.14559632539749146,0.08465321362018585,0.11599680781364441,-0.3185897767543793,1.0,0.0,1.0,1.0,0.23999999463558197,-0.12004470825195312,0.4672309160232544,1
16,48,51,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.11561443656682968,0.08656574040651321,0.31695759296417236,-0.23084533214569092,1.0,0.0,1.0,1.0,0.3400000035762787,-0.02816964127123356,1.4171453714370728,1
17,51,54,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.4383339583873749,0.12371781468391418,0.008984461426734924,-0.706451952457428,1.0,0.0,1.0,1.0,0.3499999940395355,-0.15733367204666138,0.5753103494644165,1
18,54,57,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.29751694202423096,0.12781238555908203,0.210679829120636,-0.5721311569213867,1.0,0.0,1.0,1.0,0.3400000035762787,-0.11881183832883835,0.4721572995185852,1
19,57,60,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.1643904447555542,0.09621857851743698,0.04532826691865921,-0.473957359790802,1.0,0.0,1.0,1.0,0.20000000298023224,-0.11422542482614517,0.30372339487075806,1
20,60,63,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.042142704129219055,0.07122459262609482,0.47103559970855713,-0.13845106959342957,1.0,0.0,1.0,1.0,0.27000001072883606,-0.14628195762634277,0.44097331166267395,1
21,63,66,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.1675407737493515,0.14278122782707214,0.49748024344444275,-0.41193118691444397,1.0,0.0,1.0,1.0,0.20000000298023224,-0.11514158546924591,0.3745756447315216,1
22,66,69,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.13872751593589783,0.11177300661802292,0.338556170463562,-0.36565056443214417,1.0,0.0,1.0,1.0,0.27000001072883606,-0.16381466388702393,0.42381349205970764,1
23,69,72,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.11810430884361267,0.0760176032781601,0.253267765045166,-0.279578298330307,1.0,0.0,1.0,1.0,0.25,-0.03311419114470482,0.5072073936462402,1
0,0,3,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.18887126445770264,0.09976772964000702,0.1481579691171646,-0.3412901759147644,1.0,0.0,1.0,1.0,0.11999999731779099,-0.0011895692441612482,0.41052162647247314,2
1,3,6,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.1334172487258911,0.12673726677894592,0.29116296768188477,-0.5500202775001526,1.0,0.0,1.0,1.0,0.23000000417232513,-0.1271096169948578,0.3508591651916504,2
2,6,9,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.2105654925107956,0.1327727884054184,0.2259431928396225,-0.43761610984802246,1.0,0.0,1.0,1.0,0.17000000178813934,-0.12850908935070038,0.37255433201789856,2
3,9,12,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.023364409804344177,0.0766475722193718,0.3094742000102997,-0.2198578119277954,1.0,0.0,1.0,1.0,0.09000000357627869,-0.04924164339900017,0.4035189747810364,2
4,12,15,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.06471182405948639,0.08603373914957047,0.25618311762809753,-0.1742967665195465,1.0,0.0,1.0,1.0,0.07999999821186066,-0.033499009907245636,0.44806137681007385,2
5,15,18,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.0740382969379425,0.14505329728126526,0.44097334146499634,-0.421659916639328,1.0,0.0,1.0,1.0,0.20000000298023224,-0.08165057003498077,0.3277948498725891,2
6,18,21,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.11726627498865128,0.1169792041182518,0.23171059787273407,-0.4347797930240631,1.0,0.0,1.0,1.0,0.2199999988079071,-0.09219183772802353,0.440481036901474,2
7,21,24,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.0634770616889,0.11024919152259827,0.23891867697238922,-0.37290525436401367,1.0,0.0,1.0,1.0,0.28999999165534973,-0.07032161206007004,0.5635095238685608,2
8,24,27,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.03177429363131523,0.26885363459587097,0.5672452449798584,-0.8165286779403687,1.0,0.0,1.0,1.0,0.3100000023841858,-0.09916800260543823,0.5150004029273987,2
9,27,30,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.01074221357703209,0.09806793928146362,0.3387679159641266,-0.24132385849952698,1.0,0.0,1.0,1.0,0.15000000596046448,0.006189691834151745,0.6262314915657043,2
10,30,33,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.04624006152153015,0.12204902619123459,0.336161732673645,-0.4790681302547455,1.0,0.0,1.0,1.0,0.1599999964237213,-0.08664457499980927,0.37212780117988586,2
11,33,36,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.06896376609802246,0.13177230954170227,0.29424068331718445,-0.3665009140968323,1.0,0.0,1.0,1.0,0.11999999731779099,-0.07874221354722977,0.44558659195899963,2
12,36,39,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.2661897540092468,0.11664751917123795,0.2266511172056198,-0.4961243271827698,1.0,0.0,1.0,1.0,0.33000001311302185,-0.17572301626205444,0.4619238078594208,2
13,39,42,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.010513820685446262,0.1358649730682373,0.5405040383338928,-0.434600293636322,1.0,0.0,1.0,1.0,0.3199999928474426,-0.04025861620903015,0.7938205003738403,2
14,42,45,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.08103856444358826,0.1746138334274292,0.41550177335739136,-0.3985830545425415,1.0,0.0,1.0,1.0,0.10999999940395355,-0.12508469820022583,0.4529114067554474,2
15,45,48,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.11547010391950607,0.11799831688404083,0.2904266119003296,-0.3756905198097229,1.0,0.0,1.0,1.0,0.20000000298023224,-0.18715408444404602,0.34913215041160583,2
16,48,51,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.002747190184891224,0.10487156361341476,0.25318238139152527,-0.4277089536190033,1.0,0.0,1.0,1.0,0.3100000023841858,-0.1656055450439453,0.4492877125740051,2
17,51,54,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.08889205008745193,0.1282019317150116,0.2915670871734619,-0.35838770866394043,1.0,0.0,1.0,1.0,0.25999999046325684,-0.21577602624893188,0.39638999104499817,2
18,54,57,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,0.006710332818329334,0.14541476964950562,0.2531590759754181,-0.39565762877464294,1.0,0.0,1.0,1.0,0.14000000059604645,-0.10147374868392944,0.36494138836860657,2
19,57,60,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.006641802377998829,0.09797313809394836,0.20518480241298676,-0.4200235903263092,1.0,0.0,1.0,1.0,0.1899999976158142,-0.21231117844581604,0.40523838996887207,2
20,60,63,3,dispatch_decision_block,hierarchical_actor_true_conditional_route_policy,-0.08041384071111679,0.13217853009700775,0.31293195486068726,-0.3822842240333557,1.0,0.0,1.0,1.0,0.25999999046325684,-0.18208721280097961,0.3807830810546875,2
