block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.3400000035762787,-0.011551577597856522,0.23132948577404022,0
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.36000001430511475,-0.006257092580199242,0.23777049779891968,0
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.4699999988079071,-0.01643589325249195,0.25664472579956055,0
3,9,12,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.4099999964237213,0.03403695672750473,0.3332839906215668,0
4,12,15,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.36000001430511475,-0.006963546387851238,0.26781296730041504,0
5,15,18,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.41999998688697815,0.002006325637921691,0.2623768150806427,0
6,18,21,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.3700000047683716,0.028930258005857468,0.31716999411582947,0
7,21,24,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.3499999940395355,-0.011093193665146828,0.2171473652124405,0
8,24,27,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.3400000035762787,-0.00191022630315274,0.20536406338214874,0
9,27,30,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.3799999952316284,0.006651967763900757,0.30151063203811646,0
10,30,33,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.23999999463558197,-0.015534672886133194,0.21050161123275757,0
11,33,36,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,1.0,0.0,1.0,1.0,0.23999999463558197,-0.013153745792806149,0.18643030524253845,0
