bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,1.0004316568374634,-0.013931282795965672,0.0004317470593377948,0.19430148601531982,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.08331871032715,1.005775809288025,-0.06321032345294952,0.005775731988251209,0.5078809857368469,1
high_positive,2,18.512866973876953,0.9690024852752686,-0.17359095811843872,-0.030997492372989655,0.7516025304794312,2
mid_positive,6,9.22229290008545,0.9388379454612732,-0.16290253400802612,-0.06116209924221039,0.5918034911155701,2
near_zero,6,-0.146646648645401,1.0340466499328613,-0.053444016724824905,0.03404666855931282,0.580381453037262,2
negative,86,-20.47549057006836,1.0060076713562012,-0.05453266203403473,0.006007691379636526,0.46545398235321045,2
high_positive,4,26.66049575805664,1.022629737854004,-0.06504066288471222,0.02262965962290764,0.5574252009391785,3
mid_positive,12,9.74570369720459,0.9993460178375244,-0.08100495487451553,-0.0006540481117554009,0.5549681782722473,3
near_zero,5,-0.16239306330680847,1.0326519012451172,-0.03831636905670166,0.03265193849802017,0.5162079930305481,3
negative,79,-20.333900451660156,0.99671870470047,-0.06323164701461792,-0.0032811930868774652,0.4577840566635132,3
high_positive,5,31.551782608032227,1.0038974285125732,-0.11235000193119049,0.0038975148927420378,0.5806944966316223,4
mid_positive,14,11.043741226196289,1.0089080333709717,-0.07217402011156082,0.008907930925488472,0.5476517081260681,4
near_zero,2,0.5037287473678589,1.0870401859283447,0.02538381703197956,0.08704012632369995,0.521634578704834,4
negative,79,-16.569467544555664,0.990449845790863,-0.07132166624069214,-0.009550128132104874,0.5013101100921631,4
