bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.9986947774887085,-0.017222857102751732,-0.001305165933445096,0.2059166580438614,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.076932907104492,1.008184552192688,-0.027805089950561523,0.008184467442333698,0.3558051288127899,1
high_positive,2,18.457622528076172,1.033035397529602,-0.05787377059459686,0.03303539752960205,0.5179487466812134,2
mid_positive,6,9.257649421691895,0.9686999917030334,-0.09038608521223068,-0.03129997476935387,0.4600379168987274,2
near_zero,7,-0.48051437735557556,1.0163098573684692,-0.01843077875673771,0.01630987785756588,0.3965338170528412,2
negative,85,-20.70590591430664,1.005472183227539,-0.02553989551961422,0.005472211167216301,0.31410855054855347,2
high_positive,4,26.390918731689453,0.9699103236198425,-0.07671628892421722,-0.030089616775512695,0.44910717010498047,3
mid_positive,12,9.59055233001709,1.0206154584884644,-0.027481919154524803,0.020615393295884132,0.3850616216659546,3
near_zero,5,0.2223481386899948,1.0039918422698975,-0.04038150981068611,0.003991779871284962,0.3957778513431549,3
negative,79,-20.33718490600586,1.003883957862854,-0.028961993753910065,0.0038840295746922493,0.3287641108036041,3
high_positive,5,28.73137855529785,0.9827622175216675,-0.0688605085015297,-0.017237789928913116,0.4165384769439697,4
mid_positive,15,10.517012596130371,1.014114260673523,-0.017987335100769997,0.014114300720393658,0.35975176095962524,4
near_zero,1,1.0127071142196655,0.9628485441207886,-0.053873930126428604,-0.03715148940682411,0.3381410241127014,4
negative,79,-16.180583953857422,0.9953810572624207,-0.03211639076471329,-0.0046190377324819565,0.31312549114227295,4
