block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.46000000834465027,-0.027356887236237526,0.12125515937805176,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5299999713897705,-0.008350961841642857,0.17136119306087494,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.3400000035762787,-0.005428922362625599,0.11682334542274475,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.75,-0.04551878944039345,0.2399296909570694,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5400000214576721,-0.012193352915346622,0.15504851937294006,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5199999809265137,0.004544958006590605,0.14431390166282654,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.25999999046325684,-0.0004092901945114136,0.09704223275184631,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.550000011920929,-0.018788671121001244,0.15864214301109314,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.47999998927116394,-0.016228917986154556,0.12576065957546234,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.27000001072883606,-0.0028608643915504217,0.10795368254184723,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.49000000953674316,-0.010102161206305027,0.12021736800670624,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.27000001072883606,-0.003633013926446438,0.11323463171720505,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.30000001192092896,-0.011537046171724796,0.10601001977920532,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.1899999976158142,-0.011377994902431965,0.08992084115743637,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.05999999865889549,-0.008390051312744617,0.06329643726348877,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4300000071525574,-0.006254146806895733,0.14750610291957855,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.2800000011920929,-0.009098583832383156,0.09767960757017136,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4000000059604645,-0.006083795800805092,0.14445173740386963,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.3400000035762787,-0.014049571938812733,0.11438878625631332,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6200000047683716,-0.04379110410809517,0.16989994049072266,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.15000000596046448,-0.014091086573898792,0.09087924659252167,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.44999998807907104,-0.011736917309463024,0.12181853502988815,0
