probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.5711489915847778,0.5851405262947083,0.01399153470993042,0.0004021008498966694,0.027983039617538452,0.5711489915847778,0.5851405262947083,0.23488284647464752,0.227431982755661,0.19396813213825226,0.18742749094963074
0,S1,ComHvy,local,local,0,BS1,BS1,0,0.4352452754974365,0.4225291609764099,-0.012716114521026611,0.0003321375697851181,0.025432199239730835,0.4352452754974365,0.4225291609764099,0.2761683166027069,0.28306928277015686,0.28858640789985657,0.29440152645111084
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.34841352701187134,0.38008785247802734,0.031674325466156006,0.002499715890735388,0.06334859132766724,0.34841352701187134,0.38008785247802734,0.33930057287216187,0.3127085268497467,0.3122858703136444,0.30720365047454834
0,S2,LatCrit,local,local,0,BS2,local,1,0.511339545249939,0.5230015516281128,0.011662006378173828,0.00027239276096224785,0.023324012756347656,0.511339545249939,0.5230015516281128,0.19858279824256897,0.1938903033733368,0.29007768630981445,0.2831081748008728
0,S2,ComHvy,local,local,0,local,local,0,0.5262030363082886,0.5481684803962708,0.021965444087982178,0.0014388374984264374,0.04471847414970398,0.5262030363082886,0.5481684803962708,0.2669016718864441,0.2445424199104309,0.2068953514099121,0.20728912949562073
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.44797152280807495,0.43351036310195923,-0.014461159706115723,0.0006689080037176609,0.031322360038757324,0.44797152280807495,0.43351036310195923,0.2763320803642273,0.29199326038360596,0.27569639682769775,0.2744963765144348
0,S3,LatCrit,local,local,0,local,local,0,0.495902955532074,0.49764829874038696,0.0017453432083129883,0.0009567160159349442,0.03203779458999634,0.495902955532074,0.49764829874038696,0.2802349627017975,0.29450851678848267,0.22386208176612854,0.20784318447113037
0,S3,ComHvy,BS1,BS1,0,BS1,BS1,0,0.3820839524269104,0.3786141872406006,-0.0034697651863098145,0.0014858953654766083,0.045237958431243896,0.36233991384506226,0.3431907296180725,0.3820839524269104,0.3786141872406006,0.25557610392570496,0.2781951129436493
0,S3,BWHvy,local,local,0,local,local,0,0.4583004117012024,0.4917718768119812,0.03347146511077881,0.0022646598517894745,0.06694293022155762,0.4583004117012024,0.4917718768119812,0.280914306640625,0.26574158668518066,0.2607852816581726,0.24248653650283813
0,S4,LatCrit,local,local,0,local,local,0,0.5367097854614258,0.5451512336730957,0.008441448211669922,0.00014399411156773567,0.016882911324501038,0.5367097854614258,0.5451512336730957,0.25045379996299744,0.24621614813804626,0.2128363996744156,0.20863258838653564
0,S4,ComHvy,local,local,0,local,local,0,0.42945295572280884,0.4143250584602356,-0.015127897262573242,0.0010085906833410263,0.04258595407009125,0.42945295572280884,0.4143250584602356,0.23831017315387726,0.23214507102966309,0.3322368860244751,0.35352984070777893
0,S4,BWHvy,local,local,0,local,local,0,0.5486893653869629,0.557877779006958,0.009188413619995117,0.0006811581552028656,0.031020626425743103,0.5486893653869629,0.557877779006958,0.20480723679065704,0.21112912893295288,0.24650341272354126,0.2309930920600891
