probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.567173182964325,0.5841017365455627,0.016928553581237793,0.0006074514240026474,0.0338570773601532,0.567173182964325,0.5841017365455627,0.25288358330726624,0.24495339393615723,0.17994321882724762,0.17094488441944122
0,S1,ComHvy,local,local,0,BS1,BS1,0,0.48124921321868896,0.47040432691574097,-0.010844886302947998,0.0011928863823413849,0.04310405254364014,0.48124921321868896,0.47040432691574097,0.25606074929237366,0.2453536093235016,0.2626900374889374,0.28424206376075745
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.43019336462020874,0.4261016249656677,-0.004091739654541016,0.00012723030522465706,0.014697343111038208,0.43019336462020874,0.4261016249656677,0.3034467399120331,0.310795396566391,0.26635992527008057,0.2631029784679413
0,S2,LatCrit,local,local,0,local,local,0,0.5217416286468506,0.5277408361434937,0.005999207496643066,0.00020694918930530548,0.01811949908733368,0.5217416286468506,0.5277408361434937,0.19729989767074585,0.2003604620695114,0.2809584438800812,0.27189871668815613
0,S2,ComHvy,local,local,0,local,local,0,0.5051829218864441,0.5229443907737732,0.0177614688873291,0.0008255449356511235,0.03552289307117462,0.5051829218864441,0.5229443907737732,0.2562941014766693,0.24041803181171417,0.2385229617357254,0.23663760721683502
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.44028323888778687,0.43172454833984375,-0.008558690547943115,0.00044584088027477264,0.027166694402694702,0.44028323888778687,0.43172454833984375,0.2761856019496918,0.27116096019744873,0.28353115916252136,0.2971145212650299
0,S3,LatCrit,local,local,0,local,local,0,0.5288641452789307,0.5143852233886719,-0.014478921890258789,0.0006129912217147648,0.02922777831554413,0.5288641452789307,0.5143852233886719,0.2501048743724823,0.2647187411785126,0.22103098034858704,0.22089599072933197
0,S3,ComHvy,local,local,0,BS1,BS1,0,0.417036235332489,0.392883837223053,-0.024152398109436035,0.0013291859067976475,0.048304736614227295,0.417036235332489,0.392883837223053,0.3447566628456116,0.36494171619415283,0.2382071316242218,0.2421744167804718
0,S3,BWHvy,local,local,0,local,local,0,0.49001455307006836,0.4929913282394409,0.0029767751693725586,0.0005204332992434502,0.025737911462783813,0.49001455307006836,0.4929913282394409,0.28223875164985657,0.26936981081962585,0.22774669528007507,0.23763889074325562
0,S4,LatCrit,local,local,0,local,local,0,0.5220552682876587,0.5225497484207153,0.0004944801330566406,8.86288471519947e-05,0.009611591696739197,0.5220552682876587,0.5225497484207153,0.25297409296035767,0.2572854161262512,0.22497062385082245,0.22016483545303345
0,S4,ComHvy,local,local,0,local,local,0,0.4649890065193176,0.4632302522659302,-0.0017587542533874512,3.0413968488574028e-05,0.007070943713188171,0.4649890065193176,0.4632302522659302,0.22550272941589355,0.22372601926326752,0.3095082640647888,0.3130437433719635
