bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.9960381984710693,-0.015278068371117115,-0.0039618248119950294,0.14392395317554474,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.052148818969727,1.010350227355957,-0.025912538170814514,0.010350286029279232,0.3388509750366211,1
high_positive,2,18.76441764831543,1.1293199062347412,0.037547461688518524,0.1293199062347412,0.4280303120613098,2
mid_positive,6,9.345497131347656,0.9567200541496277,-0.09699215739965439,-0.04327994957566261,0.40304484963417053,2
near_zero,4,-0.09909019619226456,1.0133466720581055,-0.011340612545609474,0.013346655294299126,0.3330177068710327,2
negative,88,-20.09031867980957,1.0077810287475586,-0.024901868775486946,0.007781036663800478,0.30835437774658203,2
high_positive,5,25.992176055908203,0.9993337392807007,-0.05679485946893692,-0.0006661448860540986,0.4376557469367981,3
mid_positive,12,9.16112995147705,1.0374611616134644,-0.01029523927718401,0.03746110945940018,0.3524520695209503,3
near_zero,4,-0.5422753691673279,0.9843720197677612,-0.05723046138882637,-0.015628021210432053,0.3618055582046509,3
negative,79,-20.853511810302734,1.0064479112625122,-0.02797466330230236,0.006447892170399427,0.3211623430252075,3
high_positive,5,30.151357650756836,0.9451119303703308,-0.12648244202136993,-0.0548880398273468,0.4105808138847351,4
mid_positive,12,12.156757354736328,1.0201586484909058,-0.03361484035849571,0.020158639177680016,0.36554381251335144,4
near_zero,3,0.21486975252628326,0.9847910404205322,-0.0432635061442852,-0.015208926983177662,0.24437832832336426,4
negative,80,-16.489320755004883,1.0059818029403687,-0.025361046195030212,0.00598186394199729,0.30771052837371826,4
