probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.5773059725761414,0.5735197067260742,-0.0037862658500671387,0.00017053447663784027,0.014181241393089294,0.5773059725761414,0.5735197067260742,0.24154870212078094,0.23824435472488403,0.1811453104019165,0.18823593854904175
0,S1,ComHvy,local,local,0,BS1,BS1,0,0.4593622088432312,0.44817864894866943,-0.011183559894561768,0.00025803642347455025,0.022367119789123535,0.4593622088432312,0.44817864894866943,0.269193172454834,0.2760118246078491,0.2714446187019348,0.27580952644348145
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.4259839653968811,0.421741783618927,-0.0042421817779541016,0.0002882871776819229,0.021529942750930786,0.4259839653968811,0.421741783618927,0.30153754353523254,0.31230252981185913,0.27247849106788635,0.26595571637153625
0,S2,LatCrit,local,local,0,local,local,0,0.5306360721588135,0.5317128300666809,0.0010767579078674316,5.0173839554190636e-06,0.00283697247505188,0.5306360721588135,0.5317128300666809,0.1933070719242096,0.1936488151550293,0.27605685591697693,0.2746383845806122
0,S2,ComHvy,local,local,0,local,local,0,0.517697811126709,0.5421707630157471,0.024472951889038086,0.0016386297065764666,0.04894581437110901,0.517697811126709,0.5421707630157471,0.2628469467163086,0.23980440199375153,0.21945519745349884,0.21802487969398499
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.4355860948562622,0.42974311113357544,-0.005842983722686768,0.0005863094702363014,0.0300273597240448,0.4355860948562622,0.42974311113357544,0.27186810970306396,0.28688177466392517,0.29254579544067383,0.283375084400177
0,S3,LatCrit,local,local,0,local,local,0,0.5209251046180725,0.5347878336906433,0.0138627290725708,0.0013472046703100204,0.04142597317695618,0.5209251046180725,0.5347878336906433,0.2664066553115845,0.27325689792633057,0.2126682698726654,0.19195526838302612
0,S3,ComHvy,local,local,0,BS1,BS1,0,0.399930477142334,0.3815498948097229,-0.018380582332611084,0.001833055168390274,0.05236178636550903,0.399930477142334,0.3815498948097229,0.35585421323776245,0.348053902387619,0.24421533942222595,0.27039623260498047
0,S3,BWHvy,local,local,0,local,local,0,0.47615528106689453,0.4598703384399414,-0.016284942626953125,0.0005941148847341537,0.032569900155067444,0.47615528106689453,0.4598703384399414,0.296572208404541,0.309876024723053,0.22727251052856445,0.2302536517381668
0,S4,LatCrit,local,local,0,local,local,0,0.5354771614074707,0.5334826111793518,-0.0019945502281188965,0.0001915176399052143,0.01520363986492157,0.5354771614074707,0.5334826111793518,0.2513158619403839,0.2589176595211029,0.21320700645446777,0.2075997143983841
0,S4,ComHvy,local,local,0,local,local,0,0.45649755001068115,0.4354976415634155,-0.020999908447265625,0.001158611848950386,0.04199981689453125,0.45649755001068115,0.4354976415634155,0.24346226453781128,0.24412968754768372,0.3000401556491852,0.32037264108657837
0,S4,BWHvy,local,local,0,local,local,0,0.5780001282691956,0.5811396837234497,0.0031395554542541504,2.512539504095912e-05,0.006279155611991882,0.5780001282691956,0.5811396837234497,0.2090272456407547,0.20647023618221283,0.21297262609004974,0.21239003539085388
0,S5,LatCrit,local,local,0,BS1,BS1,0,0.38299715518951416,0.3904765248298645,0.007479369640350342,0.00018371018813923,0.01663494110107422,0.38299715518951416,0.3904765248298645,0.3189663290977478,0.3106488585472107,0.29803651571273804,0.2988746166229248
0,S5,ComHvy,local,local,0,local,local,0,0.5567734837532043,0.5413317084312439,-0.01544177532196045,0.0005678939633071423,0.03088352084159851,0.5567734837532043,0.5413317084312439,0.1480025351047516,0.15745970606803894,0.29522401094436646,0.30120858550071716
0,S5,BWHvy,local,local,0,local,local,0,0.5183678865432739,0.5461920499801636,0.02782416343688965,0.00181608647108078,0.05564834177494049,0.5183678865432739,0.5461920499801636,0.23783135414123535,0.2166556417942047,0.2438007891178131,0.2371523231267929
0,S6,LatCrit,local,local,0,local,local,0,0.6141840219497681,0.6125823855400085,-0.0016016364097595215,0.00010483292862772942,0.009959399700164795,0.6141840219497681,0.6125823855400085,0.22946391999721527,0.2260858565568924,0.15635204315185547,0.16133174300193787
0,S6,ComHvy,local,local,0,local,local,0,0.5977668762207031,0.5963964462280273,-0.0013704299926757812,0.0001662648282945156,0.012861877679824829,0.5977668762207031,0.5963964462280273,0.1963580995798111,0.19129762053489685,0.2058749943971634,0.2123059630393982
0,S6,BWHvy,local,local,0,local,local,0,0.44554609060287476,0.4442930221557617,-0.0012530684471130371,0.0003201933577656746,0.01970522105693817,0.44554609060287476,0.4442930221557617,0.3187658488750458,0.3101663291454315,0.23568806052207947,0.24554069340229034
0,S7,LatCrit,local,local,0,local,local,0,0.47943419218063354,0.505062997341156,0.02562880516052246,0.0013437233865261078,0.05125764012336731,0.47943419218063354,0.505062997341156,0.22614535689353943,0.21763905882835388,0.2944204807281494,0.2772979438304901
0,S7,ComHvy,local,local,0,local,local,0,0.5563799738883972,0.5516922473907471,-0.0046877264976501465,4.4783810153603554e-05,0.009375497698783875,0.5563799738883972,0.5516922473907471,0.2170383781194687,0.21904419362545013,0.2265816181898117,0.229263573884964
0,S7,BWHvy,local,local,0,BS1,BS1,0,0.518579363822937,0.5198220610618591,0.0012426972389221191,6.401725113391876e-05,0.008856460452079773,0.518579363822937,0.5198220610618591,0.2447626143693924,0.24794813990592957,0.2366580218076706,0.2322297841310501
0,S8,LatCrit,local,local,0,BS2,BS2,0,0.4312872886657715,0.4350968599319458,0.0038095712661743164,0.0014865007251501083,0.04319533705711365,0.4312872886657715,0.4350968599319458,0.2497568577528,0.22815917432308197,0.31895583868026733,0.33674392104148865
0,S8,ComHvy,local,local,0,local,local,0,0.5961521863937378,0.5906322598457336,-0.00551992654800415,0.00016387179493904114,0.01397031545639038,0.5961521863937378,0.5906322598457336,0.22557486593723297,0.22410961985588074,0.17827296257019043,0.18525810539722443
0,S8,BWHvy,local,local,0,local,local,0,0.5702957510948181,0.5870561599731445,0.016760408878326416,0.0007372424006462097,0.03352080285549164,0.5702957510948181,0.5870561599731445,0.2118198722600937,0.2091939002275467,0.2178843766450882,0.20374995470046997
1,S1,LatCrit,local,local,0,local,local,0,0.5694636106491089,0.5516222715377808,-0.017841339111328125,0.0007141507230699062,0.03568270802497864,0.5694636106491089,0.5516222715377808,0.2364407777786255,0.2502264678478241,0.19409562647342682,0.19815130531787872
1,S1,ComHvy,local,local,0,local,local,0,0.4772297739982605,0.45335811376571655,-0.023871660232543945,0.0012299027293920517,0.047743260860443115,0.4772297739982605,0.45335811376571655,0.26207655668258667,0.26916995644569397,0.2606936991214752,0.2774718999862671
