block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.07735840231180191,0.13401494920253754,0.3595409393310547,-0.2259785532951355,1.0,0.0,1.0,1.0,0.4399999976158142,-0.08105761557817459,0.5600998401641846,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.19143588840961456,0.14947013556957245,0.3104161322116852,-0.6515305042266846,1.0,0.0,1.0,1.0,0.25,-0.19564376771450043,0.4125868082046509,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.10233177989721298,0.1560463160276413,0.5078873038291931,-0.4197724461555481,1.0,0.0,1.0,1.0,1.0,-0.2948065996170044,0.595772922039032,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.03819812834262848,0.12257983535528183,0.22522172331809998,-0.420401006937027,1.0,0.0,1.0,1.0,0.41999998688697815,-0.11110304296016693,0.5078969597816467,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.12083404511213303,0.1362878531217575,0.513056755065918,-0.35130754113197327,1.0,0.0,1.0,1.0,0.3499999940395355,-0.1529068946838379,0.4160623550415039,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.16203947365283966,0.12044831365346909,0.4727538228034973,-0.19358204305171967,1.0,0.0,1.0,1.0,0.9300000071525574,-0.1948537826538086,0.5565705299377441,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.4259801506996155,0.1642978936433792,0.8499006032943726,-0.18582656979560852,1.0,0.0,1.0,1.0,0.8799999952316284,-0.09592325985431671,0.5991319417953491,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.13031283020973206,0.12633690237998962,0.38047298789024353,-0.31832706928253174,1.0,0.0,1.0,1.0,0.2199999988079071,-0.10968465358018875,0.5690319538116455,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.08946628123521805,0.14133667945861816,0.4591776728630066,-0.3830689787864685,1.0,0.0,1.0,1.0,0.6699999570846558,-0.18816423416137695,0.5661978125572205,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.20500591397285461,0.15955588221549988,0.43256065249443054,-0.5448574423789978,1.0,0.0,1.0,1.0,0.2800000011920929,-0.13990439474582672,0.585726797580719,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.27940985560417175,0.14072881639003754,0.21442484855651855,-0.6313384771347046,1.0,0.0,1.0,1.0,0.07999999821186066,-0.13541708886623383,0.42732322216033936,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.17570137977600098,0.15617692470550537,0.4228690266609192,-0.4422374665737152,1.0,0.0,1.0,1.0,1.0,-0.18391384184360504,0.5398023724555969,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.3652077317237854,0.13455958664417267,0.013734430074691772,-0.6763374209403992,1.0,0.0,1.0,1.0,0.9199999570846558,-0.15466265380382538,0.5116630792617798,0
