block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,route_ratio_mean,route_ratio_std,route_ratio_max,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.005171454045921564,0.30485016107559204,-0.019599799066781998,0.8422904014587402,0.8815724849700928,-0.7515134811401367,0.01239083707332611,0.3332027494907379,-0.04987376555800438,0.8157190084457397,1.1918253898620605,-0.8759453892707825,0.47057199478149414,0.09050688147544861,0.2622697949409485,0.7014619708061218,0.3700000047683716,0.4899999797344208,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.04576494172215462,0.19305191934108734,1.0457649230957031,0.19305190443992615,1.2314972877502441,-0.0012077391147613525,0.03849511221051216,1.001855731010437,0.03974061459302902,1.0843226909637451,0.4399999976158142,0.0,0.18589721620082855,0.2977716624736786,-0.35103899240493774,0.2797015309333801,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0034078145399689674,0.4628453552722931,0.004104434046894312,1.2788256406784058,1.5881916284561157,-1.1000800132751465,0.00982265267521143,0.2905001640319824,-0.08394347876310349,0.7191179990768433,0.845285952091217,-0.704490602016449,0.48849546909332275,0.09094095975160599,0.30014604330062866,0.7012223601341248,0.4899999797344208,0.4899999797344208,0.4899999797344208,0.4899999797344208,0.4899999797344208,-0.0076819960959255695,0.18477801978588104,0.9923179149627686,0.18477803468704224,1.267344355583191,0.003351392690092325,0.020864861086010933,1.001192569732666,0.02277352660894394,1.0386379957199097,0.25,0.0,-0.35009732842445374,0.28821542859077454,-0.3338426649570465,0.23808301985263824,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.014977681450545788,0.40655311942100525,0.03607156500220299,1.1232922077178955,1.3338109254837036,-1.1885228157043457,-0.004026605281978846,0.4029739201068878,0.04729532077908516,0.868273913860321,1.2725063562393188,-1.049626111984253,0.48728615045547485,0.08197545260190964,0.28462356328964233,0.6698300242424011,0.4399999976158142,0.5600000023841858,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.030480660498142242,0.2918003499507904,1.0304806232452393,0.2918003797531128,1.343354344367981,-0.0027603614144027233,0.03984598070383072,0.9917203783988953,0.03849564492702484,1.0689640045166016,1.0,0.0,-0.3954084813594818,0.3445492386817932,0.3115658462047577,0.30850428342819214,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.003766729962080717,0.3289514183998108,-0.015718596056103706,0.9088813662528992,1.0614217519760132,-0.722139835357666,0.008457304909825325,0.4201512038707733,-0.0832006186246872,1.019954800605774,1.0655755996704102,-1.0750714540481567,0.4847521483898163,0.08972249180078506,0.25193023681640625,0.7138294577598572,0.429999977350235,0.4899999797344208,0.429999977350235,0.429999977350235,0.429999977350235,0.023095225915312767,0.19324637949466705,1.0230952501296997,0.19324636459350586,1.240276575088501,0.004856486339122057,0.02253364585340023,1.003243327140808,0.022829093039035797,1.0567646026611328,0.41999998688697815,0.0,0.13389235734939575,0.295212060213089,-0.5316877961158752,0.32534053921699524,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.010506915859878063,0.28852391242980957,0.02371898852288723,0.7971815466880798,0.8380676507949829,-0.7221291065216064,0.02041391283273697,0.4817647933959961,0.02171761728823185,1.2972025871276855,1.6169869899749756,-1.3359278440475464,0.5016877055168152,0.08669073134660721,0.24288110435009003,0.7365113496780396,0.5099999904632568,0.5199999809265137,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.0018708324059844017,0.18738529086112976,1.0018707513809204,0.18738529086112976,1.290086269378662,-0.001099114422686398,0.05305876210331917,0.9879186749458313,0.05517560988664627,1.0814253091812134,0.3499999940395355,0.0,-0.4396192729473114,0.2755383253097534,-0.8085221648216248,0.39240381121635437,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.006871795281767845,0.3867228627204895,-0.02429778128862381,1.0685018301010132,1.1001332998275757,-1.0156261920928955,-0.01447460986673832,0.38408926129341125,0.08213022351264954,0.9480953216552734,0.9576696157455444,-1.2410153150558472,0.528633713722229,0.0774383619427681,0.2886800169944763,0.7041909694671631,0.6299999952316284,0.5099999904632568,0.6299999952316284,0.6299999952316284,0.6299999952316284,-0.046584319323301315,0.22465498745441437,0.9534156322479248,0.22465498745441437,1.29429030418396,-0.002032939810305834,0.021915428340435028,0.9943017363548279,0.021190311759710312,1.042162299156189,0.9300000071525574,0.0,0.49171924591064453,0.303755521774292,0.7352210283279419,0.31396016478538513,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.01722731813788414,0.34017083048820496,0.04228722304105759,0.9398802518844604,0.7331763505935669,-1.161532998085022,-0.007339001167565584,0.35799580812454224,-0.19064989686012268,0.8367358446121216,0.9181293249130249,-0.8016824126243591,0.46085917949676514,0.09695970267057419,0.2736850082874298,0.7708635926246643,0.3100000023841858,0.5,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.07066188752651215,0.2075294703245163,1.0706619024276733,0.2075294703245163,1.2325248718261719,-0.00012474655522964895,0.07065805792808533,1.0032626390457153,0.07051382958889008,1.1163601875305176,0.8799999952316284,0.0,-0.7124162912368774,0.27157527208328247,0.25865209102630615,0.28600916266441345,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0017499637324362993,0.3616422712802887,-0.00047617018572054803,0.9992051124572754,0.920281708240509,-0.8654679656028748,-0.005191641394048929,0.32264724373817444,0.12802523374557495,0.7500175833702087,0.8912599086761475,-1.016483187675476,0.4692181944847107,0.08910678327083588,0.2948903441429138,0.691888689994812,0.26999998092651367,0.550000011920929,0.26999998092651367,0.26999998092651367,0.26999998092651367,-0.07630255818367004,0.16964276134967804,0.9236974716186523,0.16964276134967804,1.2272841930389404,0.005018817726522684,0.025849806144833565,1.0070152282714844,0.02896791882812977,1.044721245765686,0.2199999988079071,0.0,-0.16944560408592224,0.3020230829715729,0.09837038069963455,0.23998598754405975,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0013312691589817405,0.3397548794746399,-0.0016330087091773748,0.9387309551239014,1.4745445251464844,-0.872839093208313,0.009299933910369873,0.32611581683158875,0.09038867801427841,0.8704329133033752,0.7766610383987427,-0.9731781482696533,0.5001187920570374,0.09105266630649567,0.2316056340932846,0.7434605360031128,0.4899999797344208,0.4899999797344208,0.4899999797344208,0.4899999797344208,0.4899999797344208,0.0011453264160081744,0.2037913203239441,1.0011452436447144,0.2037913203239441,1.233047366142273,-0.0036554390098899603,0.030309386551380157,0.9935322999954224,0.030234267935156822,1.0797042846679688,0.6699999570846558,0.0,-0.41487523913383484,0.23327971994876862,-0.33877187967300415,0.30496299266815186,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.008399609476327896,0.3664005994796753,0.017896579578518867,1.0123522281646729,1.3245859146118164,-0.6899843215942383,-0.015828730538487434,0.4144452214241028,0.18018651008605957,0.9286200404167175,0.9481583833694458,-1.0793554782867432,0.44466307759284973,0.08673377335071564,0.2169485241174698,0.6895315647125244,0.25,0.44999998807907104,0.25,0.25,0.25,0.0795067697763443,0.1784932166337967,1.079506754875183,0.1784932166337967,1.2156709432601929,-0.0019756436813622713,0.032501764595508575,1.0069233179092407,0.030546389520168304,1.0625821352005005,0.2800000011920929,0.0,-0.22950278222560883,0.3360223174095154,0.6100864410400391,0.3570897877216339,0
