bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-21.934667587280273,0.9727802276611328,-0.02836751937866211,-0.027219785377383232,0.0,0
high_positive,2,8.871173858642578,1.0451710224151611,0.04394799470901489,0.04517096281051636,0.0,1
mid_positive,3,3.912951946258545,1.011608362197876,0.007399554364383221,0.011608302593231201,0.0,1
near_zero,1,0.5564113259315491,0.8516213297843933,-0.16061332821846008,-0.1483786702156067,0.0,1
negative,94,-20.005420684814453,0.9822123646736145,-0.01995597593486309,-0.0177876278758049,0.0,1
high_positive,3,22.364774703979492,0.9767661094665527,-0.02388863079249859,-0.02323383092880249,0.0,2
mid_positive,9,8.24863052368164,0.983967661857605,-0.01732102781534195,-0.016032325103878975,0.0,2
near_zero,4,0.19728288054466248,1.0398240089416504,0.0343652218580246,0.03982411324977875,0.0,2
negative,84,-17.65277099609375,0.9951675534248352,-0.007821773178875446,-0.0048325639218091965,0.02380952425301075,2
high_positive,4,18.728927612304688,0.970306396484375,-0.03405288979411125,-0.029693573713302612,0.0,3
mid_positive,12,6.40448522567749,0.9941865801811218,-0.010161072015762329,-0.0058134496212005615,0.0,3
near_zero,3,0.5666223168373108,1.059267520904541,0.057389043271541595,0.059267520904541016,0.0,3
negative,81,-17.055984497070312,0.9969964027404785,-0.007030772510915995,-0.003003638470545411,0.012345679104328156,3
high_positive,4,37.17851257324219,1.0368263721466064,0.03574049100279808,0.03682626783847809,0.0,4
mid_positive,11,13.998222351074219,1.0202763080596924,0.018313545733690262,0.02027628757059574,0.0,4
near_zero,3,-0.20462724566459656,1.0614659786224365,0.059388019144535065,0.06146594136953354,0.0,4
negative,82,-15.374432563781738,0.9913440346717834,-0.01285343337804079,-0.008655979298055172,0.024390242993831635,4
high_positive,6,30.09462547302246,0.9566545486450195,-0.05141051858663559,-0.04334549233317375,0.1666666716337204,5
mid_positive,18,10.543707847595215,0.99393230676651,-0.010860741138458252,-0.006067633628845215,0.0,5
near_zero,4,-0.45949554443359375,1.0813778638839722,0.07704713195562363,0.08137786388397217,0.0,5
negative,72,-15.018341064453125,1.0149646997451782,0.011761574074625969,0.014964625239372253,0.0,5
