block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.04821500554680824,0.01826416701078415,0.09448187798261642,-0.2006465494632721,0.5286136865615845,0.9393540024757385,0.5058739185333252,0
1,3,6,3,dispatch_decision_block,0.030232824385166168,0.018685590475797653,0.07505565136671066,-0.1306534856557846,0.28467684984207153,0.912896990776062,0.25437939167022705,0
2,6,9,3,dispatch_decision_block,0.032264117151498795,0.020395828410983086,0.08121638000011444,-0.547349214553833,0.747704029083252,0.7495896816253662,0.5528104305267334,0
3,9,12,3,dispatch_decision_block,0.04904523119330406,0.01797274872660637,0.11426882445812225,-0.29187512397766113,0.5145337581634521,0.8508410453796387,0.4651457369327545,0
4,12,15,3,dispatch_decision_block,0.04628168046474457,0.01810445263981819,0.09873426705598831,-0.23320364952087402,0.5189914107322693,0.8962591290473938,0.4279192388057709,0
5,15,18,3,dispatch_decision_block,0.037489257752895355,0.021343540400266647,0.09570510685443878,-0.47539931535720825,0.5756312012672424,0.7346859574317932,0.4543088376522064,0
6,18,21,3,dispatch_decision_block,0.03357578068971634,0.021149469539523125,0.09042922407388687,-0.3881434500217438,0.6777265667915344,0.8513970971107483,0.6253328323364258,0
7,21,24,3,dispatch_decision_block,0.04600491374731064,0.017235036939382553,0.09793056547641754,-0.2623167335987091,0.48206374049186707,0.8622363209724426,0.4268665611743927,0
8,24,27,3,dispatch_decision_block,0.05006725341081619,0.022557085379958153,0.11375654488801956,-0.4543038010597229,0.6976318955421448,0.8015662431716919,0.584458589553833,0
9,27,30,3,dispatch_decision_block,0.0369352251291275,0.024327673017978668,0.12716922163963318,-0.19531351327896118,0.4483339488506317,0.9072070121765137,0.4153437912464142,0
10,30,33,3,dispatch_decision_block,0.0368555448949337,0.024242740124464035,0.12903794646263123,-0.1816886067390442,0.3756181001663208,0.8958665132522583,0.35855719447135925,0
11,33,36,3,dispatch_decision_block,0.049916818737983704,0.020248670130968094,0.1068212166428566,-0.8697453141212463,0.8021958470344543,0.5798553228378296,0.53724604845047,0
12,36,39,3,dispatch_decision_block,0.047904517501592636,0.018368951976299286,0.10303269326686859,-0.296687513589859,0.5500596761703491,0.8743314743041992,0.5708970427513123,0
13,39,42,3,dispatch_decision_block,0.03192410245537758,0.020797045901417732,0.10628573596477509,-0.13841454684734344,0.325717568397522,0.9167706370353699,0.29097864031791687,0
14,42,45,3,dispatch_decision_block,0.0356222428381443,0.021100275218486786,0.09911252558231354,-0.3702857494354248,0.7671555280685425,0.9321001768112183,0.8259570598602295,0
15,45,48,3,dispatch_decision_block,0.049145348370075226,0.020152978599071503,0.10057272017002106,-0.3100864291191101,0.5273593664169312,0.8424846529960632,0.47953784465789795,0
16,48,51,3,dispatch_decision_block,0.04461344704031944,0.0169424619525671,0.09816567599773407,-0.037769071757793427,0.35225287079811096,1.024355173110962,0.3707103729248047,0
17,51,54,3,dispatch_decision_block,0.038840360939502716,0.02343876101076603,0.10711093246936798,-0.4706207513809204,0.6103672981262207,0.7484082579612732,0.4696105122566223,0
18,54,57,3,dispatch_decision_block,0.035288240760564804,0.024684544652700424,0.10848899185657501,-0.043445516377687454,0.2177964746952057,0.982001006603241,0.2403765618801117,0
19,57,60,3,dispatch_decision_block,0.04285595193505287,0.016504362225532532,0.08830530196428299,-0.11437317728996277,0.2839045524597168,0.9286020994186401,0.26840221881866455,0
20,60,63,3,dispatch_decision_block,0.05031607672572136,0.017892412841320038,0.09107615053653717,-0.39062049984931946,0.656150758266449,0.8277950882911682,0.5291765928268433,0
21,63,66,3,dispatch_decision_block,0.03799157589673996,0.02326115220785141,0.10459929704666138,-0.17074525356292725,0.47422778606414795,0.9435989260673523,0.46981921792030334,0
22,66,69,3,dispatch_decision_block,0.0363844595849514,0.023647809401154518,0.10460716485977173,-0.28798913955688477,0.49569201469421387,0.8459728956222534,0.43328171968460083,0
