telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,44928,0,0.0,994726.3125,3875506.9125000215,23222914.000000734,99683072.0,994726.3125,3875506.9125000215,23222914.000000734,99683072.0,0.10510990023612976,0.0718095526099205,210.21981811523438,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.4.bias,128,0,0.0,4183.267578125,9598.500781249992,46972.96539062502,130815.546875,4183.267578125,9598.500781249992,46972.96539062502,130815.546875,0.0056566172279417515,0.012394112534821033,11.313234329223633,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,41262.1796875,87822.87812499987,426006.88531250006,47503360.0,41262.1796875,87822.87812499987,426006.88531250006,47503360.0,0.06397468596696854,0.054508693516254425,127.94937133789062,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.weight,128,0,0.0,125819.28125,392387.2999999999,2388794.3187500066,4324299.0,125819.28125,392387.2999999999,2388794.3187500066,4324299.0,0.005649798084050417,0.0014494515489786863,11.299596786499023,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,2382.21337890625,6304.807690429681,19873.19439453127,60777.4921875,2382.21337890625,6304.807690429681,19873.19439453127,60777.4921875,0.005656718742102385,0.013847720809280872,11.313438415527344,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,44928,0,0.0,576845.3125,3462462.25,12624497.0,56828168.0,576845.3125,3462462.25,12624497.0,56828168.0,0.0773964375257492,0.0729668065905571,213.9365997314453,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.4.bias,128,0,0.0,3237.629150390625,7742.026464843746,47898.94593750014,60506.81640625,3237.629150390625,7742.026464843746,47898.94593750014,60506.81640625,0.0054007223807275295,0.012973529286682606,10.943778991699219,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,9541.55078125,33321.33613281248,87688.61890625005,1456680.25,9541.55078125,33321.33613281248,87688.61890625005,1456680.25,0.0507255457341671,0.05410298705101013,130.90576171875,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.weight,128,0,0.0,37525.734375,102533.0171875,529019.0953125,571900.375,37525.734375,102533.0171875,529019.0953125,571900.375,0.0044715311378240585,0.0015649913111701608,11.378175735473633,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2137.09130859375,5913.027294921874,21149.777500000007,26509.482421875,2137.09130859375,5913.027294921874,21149.777500000007,26509.482421875,0.0055730086751282215,0.014200888574123383,11.373967170715332,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.0.weight,44928,0,0.0,495105.875,3269754.2500000005,10664330.0,26571928.0,495105.875,3269754.2500000005,10664330.0,26571928.0,0.06551279127597809,0.07240009307861328,211.040283203125,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.4.bias,128,0,0.0,2400.38232421875,7211.874218749998,10177.744326171876,19754.02734375,2400.38232421875,7211.874218749998,10177.744326171876,19754.02734375,0.005238806828856468,0.012012574821710587,10.991389274597168,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.6.weight,16384,0,0.0,7367.9326171875,26491.98154296874,59078.388515625025,293228.25,7367.9326171875,26491.98154296874,59078.388515625025,293228.25,0.045748379081487656,0.05047377571463585,126.14503479003906,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.weight,128,0,0.0,25214.30859375,80402.73554687484,235100.5942187502,414037.375,25214.30859375,80402.73554687484,235100.5942187502,414037.375,0.004216421861201525,0.0013925773091614246,11.608902931213379,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.bias,128,0,0.0,2035.606201171875,6940.001098632808,17038.968046875,20543.404296875,2035.606201171875,6940.001098632808,17038.968046875,20543.404296875,0.005500478204339743,0.012577859684824944,10.619742393493652,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.0.weight,44928,0,0.0,509397.65625,3440781.25,10633626.0,29210594.0,509397.65625,3440781.25,10633626.0,29210594.0,0.05988709628582001,0.12892772257328033,247.44631958007812,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.4.bias,128,0,0.0,2307.904541015625,6637.798461914062,10426.305917968752,11675.205078125,2307.904541015625,6637.798461914062,10426.305917968752,11675.205078125,0.005034246947616339,0.008424065075814724,9.627037048339844,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.6.weight,16384,0,0.0,6118.67529296875,23134.952832031235,45504.57847656251,228441.390625,6118.67529296875,23134.952832031235,45504.57847656251,228441.390625,0.04060659930109978,0.07228076457977295,146.5931396484375,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.7.weight,128,0,0.0,19458.50390625,70125.64999999988,134026.34031250002,181699.375,19458.50390625,70125.64999999988,134026.34031250002,181699.375,0.0035754775162786245,0.0018289473373442888,13.189407348632812,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.7.bias,128,0,0.0,2068.49072265625,7912.740820312495,15762.780302734389,18178.853515625,2068.49072265625,7912.740820312495,15762.780302734389,18178.853515625,0.00529024051502347,0.008184723556041718,7.81577205657959,0.0,1.0,0.0,0.0
4,0,1,4,critic_backbone.0.weight,44928,0,0.0,493026.90625,3471415.25,10112064.0,29410726.0,493026.90625,3471415.25,10112064.0,29410726.0,0.0580548532307148,0.06492079049348831,183.29112243652344,0.0,1.0,0.0,0.0
4,0,1,4,critic_backbone.4.bias,128,0,0.0,2278.343017578125,6317.460522460934,9662.862700195323,12622.2578125,2278.343017578125,6317.460522460934,9662.862700195323,12622.2578125,0.004933537449687719,0.011195367202162743,10.783913612365723,0.0,1.0,0.0,0.0
4,0,1,4,critic_backbone.6.weight,16384,0,0.0,5775.2744140625,20653.575097656223,38924.905273437515,114785.3203125,5775.2744140625,20653.575097656223,38924.905273437515,114785.3203125,0.03958520665764809,0.04856785759329796,117.03519439697266,0.0,1.0,0.0,0.0
4,0,1,4,critic_backbone.7.weight,128,0,0.0,18641.36328125,73203.73828124991,124529.36742187513,202702.578125,18641.36328125,73203.73828124991,124529.36742187513,202702.578125,0.0035507981665432453,0.001979032764211297,12.151113510131836,0.0,1.0,0.0,0.0
4,0,1,4,critic_backbone.7.bias,128,0,0.0,1952.717041015625,7695.704565429675,10770.981767578136,15112.078125,1952.717041015625,7695.704565429675,10770.981767578136,15112.078125,0.005303514655679464,0.011696433648467064,11.180523872375488,0.0,1.0,0.0,0.0
5,0,1,5,critic_backbone.0.weight,44928,0,0.0,477740.4375,3296183.75,9783150.0,29604570.0,477740.4375,3296183.75,9783150.0,29604570.0,0.056710001081228256,0.06905035674571991,195.56178283691406,0.0,1.0,0.0,0.0
