epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_scale_factor_min,layer_soft_geometry_scale_factor_p50,layer_soft_geometry_scale_factor_p95,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat,layer_soft_geometry_overflow_stat_p95
0,critic_backbone.0.weight,1797120,0,0.0,441965.40625,3030789.75,8255393.5,99683072.0,441965.40625,3030789.75,8255393.5,99683072.0,0.05101845301687717,0.0962964621372521,207.67144737243652,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.4.bias,5120,0,0.0,2118.02197265625,5497.519311523438,9957.216650390628,130815.546875,2118.02197265625,5497.519311523438,9957.216650390628,130815.546875,0.0048320852336473765,0.00941492187557742,10.224929571151733,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.6.weight,655360,0,0.0,5499.7861328125,12381.096337890622,27207.243320312504,47503360.0,5499.7861328125,12381.096337890622,27207.243320312504,47503360.0,0.038048382848501205,0.044561673793941735,116.54793071746826,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.bias,5120,0,0.0,1878.2291259765625,5140.254321289063,9490.758769531267,60777.4921875,1878.2291259765625,5140.254321289063,9490.758769531267,60777.4921875,0.005034299532417208,0.008541292510926723,10.155008208751678,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.weight,5120,0,0.0,16203.6591796875,50248.919531250016,134374.19625000015,4324299.0,16203.6591796875,50248.919531250016,134374.19625000015,4324299.0,0.005062562628882006,0.0032249572250293568,15.297458362579345,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.0.weight,1797120,0,0.0,412050.34375,2947850.75,8211872.5,21682182.0,412050.34375,2947850.75,8211872.5,21682182.0,0.037838139990344646,0.16365350130945444,239.17552356719972,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.4.bias,5120,0,0.0,2289.57470703125,6073.119799804688,8728.17966796877,10467.5185546875,2289.57470703125,6073.119799804688,8728.17966796877,10467.5185546875,0.0027661996893584727,0.004234684861148708,6.293672558665276,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.6.weight,655360,0,0.0,4407.244140625,9019.631542968738,13412.112656250032,31369.080078125,4407.244140625,9019.631542968738,13412.112656250032,31369.080078125,0.023657941119745375,0.023673373088240624,91.91532745361329,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.bias,5120,0,0.0,1770.1793212890625,3498.88210449219,6122.44875488284,7725.55859375,1770.1793212890625,3498.88210449219,6122.44875488284,7725.55859375,0.005158025142736733,0.006414478880469687,10.468480211496352,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.weight,5120,0,0.0,5081.09619140625,17137.340820312504,54921.86601562516,69599.71875,5081.09619140625,17137.340820312504,54921.86601562516,69599.71875,0.0074052858166396614,0.005463111006247345,17.112176808714867,1.0,1.0,1.0,1.0,0.0,0.0,0.0
