block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.047599487006664276,0.018201611936092377,0.09448187798261642,-0.25087404251098633,0.5794286727905273,0.918942391872406,0.5600998997688293,0
1,3,6,3,dispatch_decision_block,0.029813598841428757,0.018466169014573097,0.07571148127317429,-0.3479720950126648,0.5205550193786621,0.8043562173843384,0.4125868082046509,0
2,6,9,3,dispatch_decision_block,0.03154716268181801,0.020163094624876976,0.08133038878440857,-0.6427024006843567,0.7649666666984558,0.7051934003829956,0.595772922039032,0
3,9,12,3,dispatch_decision_block,0.05301757529377937,0.014454344287514687,0.09476082772016525,-0.2721657156944275,0.5746091604232788,0.8888969421386719,0.5078969597816467,0
4,12,15,3,dispatch_decision_block,0.04631396010518074,0.018288057297468185,0.09849683940410614,-0.2872612178325653,0.5089078545570374,0.8470930457115173,0.4160623550415039,0
5,15,18,3,dispatch_decision_block,0.03792647644877434,0.021152349188923836,0.09284631907939911,-0.3893282115459442,0.5730688571929932,0.8051461577415466,0.5565705299377441,0
6,18,21,3,dispatch_decision_block,0.03338153660297394,0.021004127338528633,0.0903427004814148,-0.3346233367919922,0.7374241352081299,0.9040766954421997,0.5991319417953491,0
7,21,24,3,dispatch_decision_block,0.04527073726058006,0.012368923984467983,0.07665681093931198,-0.2646489441394806,0.5157578587532043,0.8903153538703918,0.5690318942070007,0
8,24,27,3,dispatch_decision_block,0.049661219120025635,0.022510364651679993,0.11560448259115219,-0.3915802240371704,0.6025075316429138,0.811835765838623,0.5661978125572205,0
9,27,30,3,dispatch_decision_block,0.03613852337002754,0.024244656786322594,0.12644997239112854,-0.32912787795066833,0.5875118374824524,0.8600955605506897,0.5857267379760742,0
10,30,33,3,dispatch_decision_block,0.035768743604421616,0.024247003719210625,0.12854643166065216,-0.2570653259754181,0.47223636507987976,0.864582896232605,0.42732322216033936,0
11,33,36,3,dispatch_decision_block,0.0489061065018177,0.013647911138832569,0.08962524682283401,-0.4038284122943878,0.651553750038147,0.8160861730575562,0.5398023724555969,0
12,36,39,3,dispatch_decision_block,0.04777960851788521,0.01824716478586197,0.10283160954713821,-0.3456228971481323,0.6088347434997559,0.8453373312950134,0.511663019657135,0
13,39,42,3,dispatch_decision_block,0.031887829303741455,0.020574022084474564,0.10222446918487549,-0.14320360124111176,0.42172375321388245,0.9477757215499878,0.425306499004364,0
14,42,45,3,dispatch_decision_block,0.035594239830970764,0.02086714096367359,0.09463854134082794,-0.37493205070495605,0.668250322341919,0.8391602635383606,0.5124977231025696,0
15,45,48,3,dispatch_decision_block,0.0512671172618866,0.016924286261200905,0.10468301177024841,-0.2265450656414032,0.5346623063087463,0.922717273235321,0.5533522367477417,0
16,48,51,3,dispatch_decision_block,0.04405572637915611,0.017064377665519714,0.0934741422533989,-0.14804904162883759,0.42486223578453064,0.937762439250946,0.3680756688117981,0
17,51,54,3,dispatch_decision_block,0.037563469260931015,0.023412931710481644,0.10862988233566284,-0.37768569588661194,0.6559960842132568,0.8449847102165222,0.5667331218719482,0
18,54,57,3,dispatch_decision_block,0.03551835939288139,0.024877050891518593,0.10940969735383987,-0.059688031673431396,0.2695525586605072,0.9773216247558594,0.27113139629364014,0
19,57,60,3,dispatch_decision_block,0.04384408891201019,0.012011748738586903,0.0762985348701477,-0.03396167233586311,0.2780776619911194,1.004744529724121,0.28861021995544434,0
20,60,63,3,dispatch_decision_block,0.05058370530605316,0.017997322604060173,0.09157222509384155,-0.5013293027877808,0.67975252866745,0.7549957036972046,0.5302426218986511,0
21,63,66,3,dispatch_decision_block,0.03780737146735191,0.023014187812805176,0.10291950404644012,-0.29579344391822815,0.49586260318756104,0.8405075073242188,0.4350670278072357,0
22,66,69,3,dispatch_decision_block,0.036069802939891815,0.02355002798140049,0.10236705839633942,-0.25116047263145447,0.47224506735801697,0.8738900423049927,0.46429482102394104,0
23,69,72,3,dispatch_decision_block,0.0526835136115551,0.014775190502405167,0.08947055786848068,-0.42700254917144775,0.6261446475982666,0.7904606461524963,0.5127821564674377,0
0,0,3,3,dispatch_decision_block,0.047260597348213196,0.01671876758337021,0.09119528532028198,-0.5416590571403503,0.8981412649154663,0.7897509336471558,0.5536206364631653,1
1,3,6,3,dispatch_decision_block,0.03298933804035187,0.01971869170665741,0.1019582599401474,-0.3103443384170532,0.6282822489738464,0.8777535557746887,0.5431854128837585,1
2,6,9,3,dispatch_decision_block,0.0358574278652668,0.02065409906208515,0.10643091052770615,-1.0468389987945557,1.2818427085876465,0.6131289005279541,0.5821024775505066,1
3,9,12,3,dispatch_decision_block,0.047937504947185516,0.014578195288777351,0.08054531365633011,-0.45035606622695923,0.8248677849769592,0.8425521850585938,0.5794791579246521,1
