telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,44928,0,0.0,801251.1875,3916893.75,17586331.640001286,79237664.0,801251.1875,3916893.75,17586331.640001286,79237664.0,0.10522045940160751,0.07053357362747192,210.44091796875,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.4.bias,128,0,0.0,7646.72216796875,17358.26787109373,124639.27406250003,246111.96875,7646.72216796875,17358.26787109373,124639.27406250003,246111.96875,0.005656421650201082,0.011056516319513321,11.312843322753906,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,51495.234375,103197.61328124993,585142.3556250002,56213456.0,51495.234375,103197.61328124993,585142.3556250002,56213456.0,0.0639689713716507,0.04984746873378754,127.93795013427734,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.weight,128,0,0.0,84805.15625,377390.2062499999,1037928.3243750012,1416483.5,84805.15625,377390.2062499999,1037928.3243750012,1416483.5,0.00565206678584218,0.001225413172505796,11.304134368896484,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,3194.523193359375,9522.106005859374,41636.209628906334,59075.03515625,3194.523193359375,9522.106005859374,41636.209628906334,59075.03515625,0.005656673107296228,0.01200200617313385,11.313345909118652,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,44928,0,0.0,603581.875,3472233.650000029,13032107.0,40040628.0,603581.875,3472233.650000029,13032107.0,40040628.0,0.07712988555431366,0.06942874938249588,211.5243682861328,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.4.bias,128,0,0.0,3805.20556640625,10393.15771484374,38302.26849609382,62325.015625,3805.20556640625,10393.15771484374,38302.26849609382,62325.015625,0.005366529803723097,0.010951535776257515,11.281758308410645,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,11135.826171875,38402.075390624916,103864.97765625,2287100.75,11135.826171875,38402.075390624916,103864.97765625,2287100.75,0.049457672983407974,0.05078228935599327,129.60049438476562,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.weight,128,0,0.0,39091.25,126960.15117187481,387512.0443750004,539870.9375,39091.25,126960.15117187481,387512.0443750004,539870.9375,0.004452237859368324,0.001301062642596662,11.046414375305176,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2568.908203125,10347.527832031235,19739.28793945315,26910.328125,2568.908203125,10347.527832031235,19739.28793945315,26910.328125,0.005552417598664761,0.011948961764574051,11.204597473144531,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.0.weight,44928,0,0.0,561403.25,3435161.75,12439291.0,35584560.0,561403.25,3435161.75,12439291.0,35584560.0,0.06606470048427582,0.06280882656574249,206.5718536376953,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.4.bias,128,0,0.0,2995.8408203125,7848.397851562496,23640.909882812535,26172.90625,2995.8408203125,7848.397851562496,23640.909882812535,26172.90625,0.0052511184476315975,0.010649263858795166,11.552169799804688,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.6.weight,16384,0,0.0,8339.13671875,30135.183300781242,62344.6590625,341106.8125,8339.13671875,30135.183300781242,62344.6590625,341106.8125,0.04558538272976875,0.05225374922156334,130.79843139648438,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.weight,128,0,0.0,31012.94921875,128851.59140624998,260450.98546875003,311179.375,31012.94921875,128851.59140624998,260450.98546875003,311179.375,0.004001053981482983,0.0013258622493594885,11.362107276916504,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.bias,128,0,0.0,2408.87646484375,9373.396020507795,15610.264765625005,19419.58984375,2408.87646484375,9373.396020507795,15610.264765625005,19419.58984375,0.0055037932470440865,0.011843781918287277,11.284530639648438,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.0.weight,44928,0,0.0,535899.6875,3592861.5,11122449.0,32878424.0,535899.6875,3592861.5,11122449.0,32878424.0,0.05942559987306595,0.13509848713874817,256.73590087890625,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.4.bias,128,0,0.0,2729.8349609375,7445.580297851559,10443.627548828128,13781.4873046875,2729.8349609375,7445.580297851559,10443.627548828128,13781.4873046875,0.004968540742993355,0.007949813269078732,9.744648933410645,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.6.weight,16384,0,0.0,7011.8427734375,25463.195800781225,47480.62484375001,182463.40625,7011.8427734375,25463.195800781225,47480.62484375001,182463.40625,0.04088648408651352,0.06689787656068802,143.02783203125,0.0,1.0,0.0,0.0
