telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0,0,0,0.13986525114724713,78848,0,0.0,433194.3125,1449660.125,10016982.099999886,97440424.0,433194.3125,1449660.125,10016982.099999886,97440424.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0,0,1,0.10566372274643691,78848,0,0.0,271008.375,1210826.75,7222619.22499997,29296110.0,271008.375,1210826.75,7222619.22499997,29296110.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0,0,2,0.0886521016958834,78848,0,0.0,253864.78125,1126231.125,7086218.0,28969942.0,253864.78125,1126231.125,7086218.0,28969942.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0,0,3,0.08021774049158656,78848,0,0.0,268895.65625,1234403.75,7460697.0,31868498.0,268895.65625,1234403.75,7460697.0,31868498.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0,1,4,0.08015092844604974,78848,0,0.0,261955.734375,1210475.0,7260158.5,30765022.0,261955.734375,1210475.0,7260158.5,30765022.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0,1,5,0.07750651351953668,78848,0,0.0,252787.21875,1218590.25,7265543.5,29048048.0,252787.21875,1218590.25,7265543.5,29048048.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0,1,6,0.07544439008224961,78848,0,0.0,246473.25,1187160.625,6860971.5,30278850.0,246473.25,1187160.625,6860971.5,30278850.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0,1,7,0.07309854224150837,78848,0,0.0,240834.90625,1181833.125,6454253.5,29054356.0,240834.90625,1181833.125,6454253.5,29054356.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0,2,8,0.07232826797367198,78848,0,0.0,243760.0,1202500.375,6638658.0,30280714.0,243760.0,1202500.375,6638658.0,30280714.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0,2,9,0.07211902666078879,78848,0,0.0,236927.953125,1179279.375,6418327.5,30891996.0,236927.953125,1179279.375,6418327.5,30891996.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0,2,10,0.07066522763922682,78848,0,0.0,236039.734375,1183031.625,6493515.0,24780822.0,236039.734375,1183031.625,6493515.0,24780822.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0,2,11,0.06926791536206806,78848,0,0.0,234324.96875,1192475.3749999898,6613748.0,18151904.0,234324.96875,1192475.3749999898,6613748.0,18151904.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12,0,3,12,0.06907114989634783,78848,0,0.0,234158.4375,1195887.375,6483677.5,18516120.0,234158.4375,1195887.375,6483677.5,18516120.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,0,3,13,0.06869345275264054,78848,0,0.0,232694.703125,1185734.75,6387380.024999994,18333098.0,232694.703125,1185734.75,6387380.024999994,18333098.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
14,0,3,14,0.06768417680894394,78848,0,0.0,235278.28125,1196903.625,6478512.0,18537920.0,235278.28125,1196903.625,6478512.0,18537920.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
15,0,3,15,0.06688622417299185,78848,0,0.0,236043.328125,1188487.0,6503763.5,18918912.0,236043.328125,1188487.0,6503763.5,18918912.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,0,4,16,0.06653207214137716,78848,0,0.0,236604.8125,1195901.625,6429162.5,18954842.0,236604.8125,1195901.625,6429162.5,18954842.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,0,4,17,0.06661061860551128,78848,0,0.0,235370.828125,1194008.875,6426206.0,18676230.0,235370.828125,1194008.875,6426206.0,18676230.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
18,0,4,18,0.06590999186202649,78848,0,0.0,236631.84375,1211522.0,6501136.0,18586010.0,236631.84375,1211522.0,6501136.0,18586010.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
19,0,4,19,0.06532590155925425,78848,0,0.0,234877.421875,1210224.875,6365890.5,17677876.0,234877.421875,1210224.875,6365890.5,17677876.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
20,0,5,20,0.06555900380924654,78848,0,0.0,235013.34375,1216274.625,6353398.5,17980006.0,235013.34375,1216274.625,6353398.5,17980006.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,0,5,21,0.06521382006394406,78848,0,0.0,235707.265625,1211295.75,6385643.099999984,18113444.0,235707.265625,1211295.75,6385643.099999984,18113444.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
22,0,5,22,0.06501235228748842,78848,0,0.0,235978.546875,1204112.5,6474961.5,18080318.0,235978.546875,1204112.5,6474961.5,18080318.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23,0,5,23,0.06438356196596687,78848,0,0.0,237596.203125,1216070.75,6599548.5,18316866.0,237596.203125,1216070.75,6599548.5,18316866.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
24,0,6,24,0.06499442482175959,78848,0,0.0,238857.96875,1223011.125,6642758.0,18625546.0,238857.96875,1223011.125,6642758.0,18625546.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
25,0,6,25,0.06481211882056534,78848,0,0.0,239069.40625,1217637.0,6582100.0,18403072.0,239069.40625,1217637.0,6582100.0,18403072.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
