block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.047599487006664276,0.018201611936092377,0.09448187798261642,0.016916325315833092,1.0,0.0,1.0,1.0,0.07735840231180191,0.13401494920253754,0.3595409393310547,-0.2259785532951355,1.0,0.0,1.0,1.0,0.07735840231180191,0.13401494920253754,0.3595409393310547,-0.2259785532951355,0.07125474512577057,0.34559574723243713,0.9438074231147766,-0.6880115270614624,-0.006103648338466883,0.3286478817462921,0.763145923614502,-0.8956892490386963,-0.006103648338466883,0.3286478817462921,0.763145923614502,-0.8956892490386963,0.3400000035762787,0.4399999976158142,0.4375,0.442307710647583,0.918942391872406,0.5600998997688293,3.0499753952026367,-0.016204971820116043,0.6795470714569092,-0.08105761557817459,0.5600998401641846,0
1,3,6,3,dispatch_decision_block,0.029813598841428757,0.018466169014573097,0.07571148127317429,9.448179127957701e-08,1.0,0.0,1.0,1.0,-0.19143588840961456,0.14947013556957245,0.3104161322116852,-0.6515305042266846,1.0,0.0,1.0,1.0,-0.19143588840961456,0.14947013556957245,0.3104161322116852,-0.6515305042266846,-0.19979868829250336,0.40661099553108215,0.7527762055397034,-1.1137797832489014,-0.008362792432308197,0.4024384617805481,1.1103113889694214,-0.9425293207168579,-0.008362792432308197,0.4024384617805481,1.1103113889694214,-0.9425293207168579,0.44999998807907104,0.25,0.19230769574642181,0.3125,0.8043562173843384,0.4125868082046509,2.341604471206665,-0.034340713173151016,0.7687612771987915,-0.19564376771450043,0.4125868082046509,0
2,6,9,3,dispatch_decision_block,0.03154716268181801,0.020163094624876976,0.08133038878440857,9.448179127957701e-08,1.0,0.0,1.0,1.0,0.10233177989721298,0.1560463160276413,0.5078873038291931,-0.4197724461555481,1.0,0.0,1.0,1.0,0.10233177989721298,0.1560463160276413,0.5078873038291931,-0.4197724461555481,0.0929698720574379,0.42547398805618286,1.1945350170135498,-1.031898021697998,-0.00936190690845251,0.4200623333454132,1.0987244844436646,-0.9623373746871948,-0.00936190690845251,0.4200623333454132,1.0987244844436646,-0.9623373746871948,0.4399999976158142,1.0,0.9999999403953552,1.0,0.7051934003829956,0.595772922039032,3.6438610553741455,0.04286781698465347,0.8419373631477356,-0.2948065996170044,0.595772922039032,0
3,9,12,3,dispatch_decision_block,0.05301757529377937,0.014454344287514687,0.09476082772016525,0.022850796580314636,1.0,0.0,1.0,1.0,-0.03819812834262848,0.12257983535528183,0.22522172331809998,-0.420401006937027,1.0,0.0,1.0,1.0,-0.03819812834262848,0.12257983535528183,0.22522172331809998,-0.420401006937027,-0.040627364069223404,0.2161157876253128,0.8846244215965271,-0.44613513350486755,-0.0024292373564094305,0.224173441529274,0.8015750646591187,-0.5277908444404602,-0.0024292373564094305,0.224173441529274,0.8015750646591187,-0.5277908444404602,0.1899999976158142,0.41999998688697815,0.46153849363327026,0.375,0.8888969421386719,0.5078969597816467,3.5732014179229736,-0.06120723485946655,0.9072582721710205,-0.11110304296016693,0.5078969597816467,0
4,12,15,3,dispatch_decision_block,0.04631396010518074,0.018288057297468185,0.09849683940410614,0.016459977254271507,1.0,0.0,1.0,1.0,0.12083404511213303,0.1362878531217575,0.513056755065918,-0.35130754113197327,1.0,0.0,1.0,1.0,0.12083404511213303,0.1362878531217575,0.513056755065918,-0.35130754113197327,0.11459008604288101,0.36878448724746704,1.2095975875854492,-0.9436480402946472,-0.006243952549993992,0.3726649582386017,1.144934892654419,-0.8949911594390869,-0.006243952549993992,0.3726649582386017,1.144934892654419,-0.8949911594390869,0.3199999928474426,0.3499999940395355,0.31111112236976624,0.38181817531585693,0.8470930457115173,0.4160623550415039,2.303283929824829,-0.0032109569292515516,1.2976926565170288,-0.1529068946838379,0.4160623550415039,0
5,15,18,3,dispatch_decision_block,0.03792647644877434,0.021152349188923836,0.09284631907939911,0.0037267967127263546,1.0,0.0,1.0,1.0,0.16203947365283966,0.12044831365346909,0.4727538228034973,-0.19358204305171967,1.0,0.0,1.0,1.0,0.16203947365283966,0.12044831365346909,0.4727538228034973,-0.19358204305171967,0.15484562516212463,0.5079227685928345,1.1051716804504395,-1.1402262449264526,-0.007193840108811855,0.5076054930686951,1.0487552881240845,-1.3672080039978027,-0.007193840108811855,0.5076054930686951,1.0487552881240845,-1.3672080039978027,0.5999999642372131,0.9300000071525574,0.9799999594688416,0.8799999952316284,0.8051461577415466,0.5565705299377441,4.319887638092041,0.02958541549742222,1.13187837600708,-0.1948537826538086,0.5565705299377441,0
6,18,21,3,dispatch_decision_block,0.03338153660297394,0.021004127338528633,0.0903427004814148,0.0007259347476065159,1.0,0.0,1.0,1.0,0.4259801506996155,0.1642978936433792,0.8499006032943726,-0.18582656979560852,1.0,0.0,1.0,1.0,0.4259801506996155,0.1642978936433792,0.8499006032943726,-0.18582656979560852,0.40937530994415283,0.49746599793434143,1.4801863431930542,-0.8352033495903015,-0.016604891046881676,0.5014165639877319,1.175724744796753,-1.38261079788208,-0.016604891046881676,0.5014165639877319,1.175724744796753,-1.38261079788208,0.5399999618530273,0.8799999952316284,0.8723403811454773,0.8867924809455872,0.9040766954421997,0.5991319417953491,2.7976932525634766,-0.03595270216464996,0.6837591528892517,-0.09592325985431671,0.5991319417953491,0
7,21,24,3,dispatch_decision_block,0.04527073726058006,0.012368923984467983,0.07665681093931198,0.020154118537902832,1.0,0.0,1.0,1.0,-0.13031283020973206,0.12633690237998962,0.38047298789024353,-0.31832706928253174,1.0,0.0,1.0,1.0,-0.13031283020973206,0.12633690237998962,0.38047298789024353,-0.31832706928253174,-0.13584773242473602,0.23247545957565308,0.6973397731781006,-0.9031741619110107,-0.005534909665584564,0.23598605394363403,0.7593489289283752,-0.6234098076820374,-0.005534909665584564,0.23598605394363403,0.7593489289283752,-0.6234098076820374,0.17999999225139618,0.2199999988079071,0.239130437374115,0.20370370149612427,0.8903153538703918,0.5690318942070007,3.5488405227661133,0.023742569610476494,0.6407936215400696,-0.10968465358018875,0.5690319538116455,0
8,24,27,3,dispatch_decision_block,0.049661219120025635,0.022510364651679993,0.11560448259115219,0.014403840526938438,1.0,0.0,1.0,1.0,0.08946628123521805,0.14133667945861816,0.4591776728630066,-0.3830689787864685,1.0,0.0,1.0,1.0,0.08946628123521805,0.14133667945861816,0.4591776728630066,-0.3830689787864685,0.08786538988351822,0.34590384364128113,1.2111706733703613,-0.891607403755188,-0.001600900897756219,0.33699747920036316,1.0353760719299316,-0.9083558320999146,-0.001600900897756219,0.33699747920036316,1.0353760719299316,-0.9083558320999146,0.29999998211860657,0.6699999570846558,0.7254902124404907,0.6122449040412903,0.811835765838623,0.5661978125572205,4.43072509765625,0.02302536368370056,1.0251668691635132,-0.18816423416137695,0.5661978125572205,0
9,27,30,3,dispatch_decision_block,0.03613852337002754,0.024244656786322594,0.12644997239112854,0.0007284916355274618,1.0,0.0,1.0,1.0,-0.20500591397285461,0.15955588221549988,0.43256065249443054,-0.5448574423789978,1.0,0.0,1.0,1.0,-0.20500591397285461,0.15955588221549988,0.43256065249443054,-0.5448574423789978,-0.2040404975414276,0.5715602040290833,1.501008152961731,-2.315638303756714,0.0009654146269895136,0.5419856309890747,1.4313501119613647,-1.9481065273284912,0.0009654146269895136,0.5419856309890747,1.4313501119613647,-1.9481065273284912,0.550000011920929,0.2800000011920929,0.2448979616165161,0.3137255012989044,0.8600955605506897,0.5857267379760742,3.646250009536743,0.06982051581144333,0.697003960609436,-0.13990439474582672,0.585726797580719,0
