telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,44928,0,0.0,774088.0,3401511.5,17686214.0,91610944.0,774088.0,3401511.5,17686214.0,91610944.0,0.04974808171391487,0.07736099511384964,210.51637268066406,2000.0,0.4726290590225845,0.8542779684066772,7.438827990080839
0,0,0,0,critic_backbone.4.bias,128,0,0.0,5665.72705078125,22804.76650390625,58863.04230468752,110903.59375,5665.72705078125,22804.76650390625,58863.04230468752,110903.59375,0.005656533408910036,0.011405830271542072,11.313066482543945,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,53154.03515625,118641.45078124963,574679.3762500001,63513172.0,53154.03515625,118641.45078124963,574679.3762500001,63513172.0,0.04240560531616211,0.049457330256700516,127.93529510498047,4000.0,0.6629226521890715,0.6395263671875,3.389810728776555
0,0,0,0,critic_backbone.7.weight,128,0,0.0,538316.0625,316104.64687499957,2668621.7350000013,54750760.0,538316.0625,316104.64687499957,2668621.7350000013,54750760.0,0.0056330179795622826,0.0012223627418279648,11.266036033630371,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,78967.703125,10269.31025390625,24575.637187500004,9763926.0,78967.703125,10269.31025390625,24575.637187500004,9763926.0,0.005652595777064562,0.012286563403904438,11.305191993713379,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,44928,0,0.0,510985.46875,2850372.75,11647235.0,59351164.0,510985.46875,2850372.75,11647235.0,59351164.0,0.03717003017663956,0.08335123211145401,218.65550231933594,2000.0,0.47862721725757035,0.8361155390739441,7.262057873624237
1,0,0,1,critic_backbone.4.bias,128,0,0.0,2842.61865234375,10756.16049804687,20831.30382812501,25206.583984375,2842.61865234375,10756.16049804687,20831.30382812501,25206.583984375,0.005356543231755495,0.01331650372594595,12.36790657043457,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,12912.267578125,46260.630468749965,119493.60015625,768947.875,12912.267578125,46260.630468749965,119493.60015625,768947.875,0.03631032258272171,0.049238644540309906,127.7234115600586,4000.0,0.7314221472120505,0.5745849609375,2.4479967217443748
1,0,0,1,critic_backbone.7.weight,128,0,0.0,61328.5546875,171184.74999999994,399165.02406250045,2742783.25,61328.5546875,171184.74999999994,399165.02406250045,2742783.25,0.0044733742251992226,0.0012547406367957592,11.363167762756348,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2679.906005859375,10460.02060546874,15688.829824218756,24226.4453125,2679.906005859375,10460.02060546874,15688.829824218756,24226.4453125,0.005554780829697847,0.013721668161451817,11.598222732543945,0.0,1.0,0.0,0.0
