telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,42880,0,0.0,931577.625,3795401.75,23083887.079999954,99907032.0,931577.625,3795401.75,23083887.079999954,99907032.0,0.10273519903421402,0.07272841781377792,205.47039794921875,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.4.bias,128,0,0.0,4484.3486328125,16312.603466796829,36928.07253906253,72934.0078125,4484.3486328125,16312.603466796829,36928.07253906253,72934.0078125,0.005656599998474121,0.011110946536064148,11.313199996948242,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,48397.84375,92553.77109374992,480056.2581250001,98397920.0,48397.84375,92553.77109374992,480056.2581250001,98397920.0,0.06397250294685364,0.05882585421204567,127.94500732421875,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.weight,128,0,0.0,113631.703125,377525.7437499997,1273774.0112500025,4675123.0,113631.703125,377525.7437499997,1273774.0112500025,4675123.0,0.00565048074349761,0.001522655482403934,11.3009614944458,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,3191.911376953125,10238.19426269528,40848.769882812565,64086.16015625,3191.911376953125,10238.19426269528,40848.769882812565,64086.16015625,0.005656673107296228,0.012461957521736622,11.313345909118652,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,42880,0,0.0,693775.4375,3434767.0999999745,16751125.0,93226608.0,693775.4375,3434767.0999999745,16751125.0,93226608.0,0.07615689933300018,0.08129170536994934,211.31320190429688,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.4.bias,128,0,0.0,3064.6259765625,10978.477490234367,17094.923183593757,34317.13671875,3064.6259765625,10978.477490234367,17094.923183593757,34317.13671875,0.005375138949602842,0.012795591726899147,11.834206581115723,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,9877.7744140625,34956.06074218747,85880.25156250001,1765340.625,9877.7744140625,34956.06074218747,85880.25156250001,1765340.625,0.05181761831045151,0.05590435862541199,127.94992065429688,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.weight,128,0,0.0,41365.5234375,163466.94218749995,462862.19562500104,724798.375,41365.5234375,163466.94218749995,462862.19562500104,724798.375,0.004698496777564287,0.0014062761329114437,11.541147232055664,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2303.741455078125,8532.629931640613,15253.518261718757,29628.876953125,2303.741455078125,8532.629931640613,15253.518261718757,29628.876953125,0.005589626729488373,0.013905514031648636,11.900006294250488,0.0,1.0,0.0,0.0
