telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0,0,0,0.09299359399971431,76800,0,0.0,442363.53125,953334.4781250183,11793769.0,94286944.0,442363.53125,953334.4781250183,11793769.0,94286944.0,0.5784417649456406,0.5784417688846588,0.6761651307344436,0.4698602679189511,0.71539306640625,5.279490369845944,7.297702980041504
1,0,0,1,0.07272941150559566,76800,0,0.0,362076.0,578405.0,9522121.70999981,79584080.0,362076.0,578405.0,9522121.70999981,79584080.0,0.6130510158961715,0.613051027059555,0.7400839060544967,0.47190337757246736,0.6797829866409302,4.816628247318782,7.1961297512054445
2,0,0,2,0.06309321434149262,76800,0,0.0,352000.21875,569538.4375,9782529.0,82364304.0,352000.21875,569538.4375,9782529.0,82364304.0,0.6253997052119649,0.6253996938467026,0.7611561760306358,0.47455916149622945,0.6523657143115997,4.651599257066322,7.108472800254821
3,0,0,3,0.058795245011681097,76800,0,0.0,329069.5625,554960.25,9454867.0,74883552.0,329069.5625,554960.25,9454867.0,74883552.0,0.6328905981971735,0.6328905820846558,0.7746847033500671,0.4753415657916922,0.6371060013771057,4.562897113242106,7.078792095184326
4,0,0,4,0.05549931150449556,76800,0,0.0,307723.6875,536296.4375,8682996.0,63209152.0,307723.6875,536296.4375,8682996.0,63209152.0,0.6381903677703752,0.638190358877182,0.7843496948480606,0.475791094064932,0.6387973129749298,4.502807057833721,7.060857343673706
5,0,0,5,0.054495345379478324,76800,0,0.0,297801.875,540137.125,8474861.0,65263324.0,297801.875,540137.125,8474861.0,65263324.0,0.6419683944804191,0.641968384385109,0.791226489841938,0.4761260426867092,0.6370471715927124,4.460659676024971,7.047771143913269
6,0,0,6,0.051455839732361654,76800,0,0.0,301670.28125,559568.1875,8259802.5,63005708.0,301670.28125,559568.1875,8259802.5,63005708.0,0.6476154488407818,0.647615447640419,0.8016505673527717,0.4764653263248553,0.606381356716156,4.400464759015757,7.032778048515319
7,0,1,7,0.05163775792651407,76800,0,0.0,290525.0625,571817.0,8225327.5,54773828.0,290525.0625,571817.0,8225327.5,54773828.0,0.6501405328441363,0.6501405388116837,0.8056330636143684,0.47737107350803076,0.6047064661979675,4.366687238673887,7.005507159233093
8,0,1,8,0.05112619528026687,76800,0,0.0,287019.5625,579427.9375,8323815.5,55258132.0,287019.5625,579427.9375,8323815.5,55258132.0,0.652354473215043,0.6523544788360596,0.8100959420204162,0.47708620110664923,0.6045676171779633,4.347790855105854,7.011122560501098
9,0,1,9,0.05035731346279264,76800,0,0.0,283629.1875,584375.875,8183378.0,53409432.0,283629.1875,584375.875,8183378.0,53409432.0,0.6545544017012007,0.6545544117689133,0.8138651415705681,0.47754248586262804,0.6015157699584961,4.322014758329397,6.996528673171997
