epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_scale_factor_min,layer_soft_geometry_scale_factor_p50,layer_soft_geometry_scale_factor_p95,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat,layer_soft_geometry_overflow_stat_p95
0,critic_backbone.0.weight,3001538,0,0.0,454181.40625,2596746.75,10624295.0,94286944.0,454181.40625,2596746.75,10624295.0,94286944.0,0.020562383479305675,0.13298068786306041,227.17832423618862,0.48166941074819536,0.4698602679189511,0.48199668526649475,0.4860643297433853,0.6395897171327046,7.174816923121562,7.352373099327087
0,critic_backbone.4.bias,8960,0,0.0,3064.572509765625,6748.214208984373,9623.672392578123,7727440.0,3064.572509765625,6748.214208984373,9623.672392578123,7727440.0,0.0040853432745539715,0.007772399391978979,8.546927039963858,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.6.weight,1146880,0,0.0,5311.45458984375,12015.377148437503,21971.140624999993,33159120.0,5311.45458984375,12015.377148437503,21971.140624999993,33159120.0,0.030392211329724108,0.03747809561235564,109.38656158447266,0.8568066305403792,0.6870232619723302,0.8711937069892883,0.8766731292009353,0.4452157156808036,1.1268922907534804,1.7193401873111722
0,critic_backbone.7.bias,8960,0,0.0,1814.5819091796875,4351.163940429686,8417.110664062488,37496.6640625,1814.5819091796875,4351.163940429686,8417.110664062488,37496.6640625,0.005147008917161397,0.008338856733670193,10.585112145968846,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.weight,8960,0,0.0,14773.8642578125,44019.40917968749,87484.213203125,25129438.0,14773.8642578125,44019.40917968749,87484.213203125,25129438.0,0.006114328073869859,0.004309721784998796,16.76000859737396,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.0.weight,3001600,0,0.0,434343.90625,2687072.25,10063202.0,51400680.0,434343.90625,2687072.25,10063202.0,51400680.0,0.018550404600266898,0.35638926061136383,309.2283885410854,0.4805181358303646,0.47840438954284853,0.4806036353111267,0.4820330023765564,0.3112240180373192,7.20733012542168,7.265515232086182
1,critic_backbone.4.bias,8960,0,0.0,2547.140380859375,6935.869628906248,8770.362275390626,10138.2705078125,2547.140380859375,6935.869628906248,8770.362275390626,10138.2705078125,0.001624974433798343,0.005045224587333256,9.425947955676488,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.6.weight,1146880,0,0.0,4431.92822265625,8468.332763671877,12233.262890624985,23282.44140625,4431.92822265625,8468.332763671877,12233.262890624985,23282.44140625,0.022413483435021978,0.03831301798511829,155.54011639186314,0.9120415874879236,0.880549026272759,0.9108725786209106,0.9531638234853744,0.48954642159598216,0.6482902756658147,0.900120422244072
1,critic_backbone.7.bias,8960,0,0.0,1790.2325439453125,2757.889306640625,5877.566152343748,6673.31884765625,1790.2325439453125,2757.889306640625,5877.566152343748,6673.31884765625,0.002686246536904946,0.004568430949335119,7.93472922529493,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.weight,8960,0,0.0,4116.171875,8298.835400390606,46827.412148437455,95571.71875,4116.171875,8298.835400390606,46827.412148437455,95571.71875,0.004010648591377374,0.003795321166814704,11.028766029221671,1.0,1.0,1.0,1.0,0.0,0.0,0.0
