sample_id,block_id,selected_joint_action,best_joint_action_under_path,best_joint_action_under_reward_aligned,joint_action_match_under_path,joint_action_match_under_reward_aligned
0,0,local,local,local,1,1
0,1,local,local,bs1,1,0
0,2,local,local,bs1,1,0
0,3,local,local,bs2,1,0
0,4,bs1,local,local,0,0
0,5,local,local,local,1,1
0,6,local,local,local,1,1
0,7,bs1,local,bs1,0,1
0,8,bs2,local,local,0,0
0,9,local,local,local,1,1
0,10,bs2,local,local,0,0
0,11,bs1,local,local,0,0
0,12,bs2,local,bs2,0,1
0,13,bs2,local,local,0,0
0,14,local,local,bs2,1,0
0,15,bs1,local,local,0,0
0,16,bs2,local,bs2,0,1
0,17,bs1,local,bs1,0,1
0,18,local,local,local,1,1
0,19,local,local,local,1,1
0,20,local,local,local,1,1
0,21,bs1,local,local,0,0
0,22,local,local,bs1,1,0
0,23,bs2,local,local,0,0
1,0,local,local,bs1,1,0
1,1,bs1,local,bs2,0,0
1,2,local,local,local,1,1
1,3,local,local,bs1,1,0
1,4,bs2,local,local,0,0
1,5,bs1,local,local,0,0
1,6,bs2,local,bs1,0,0
1,7,local,local,bs2,1,0
1,8,bs2,local,local,0,0
1,9,local,local,bs1,1,0
1,10,local,local,local,1,1
1,11,bs2,local,local,0,0
1,12,local,local,bs1,1,0
1,13,bs1,local,local,0,0
1,14,local,local,local,1,1
1,15,bs1,local,local,0,0
1,16,local,local,local,1,1
1,17,bs1,local,local,0,0
1,18,bs2,local,local,0,0
1,19,local,local,local,1,1
1,20,bs2,local,local,0,0
1,21,local,local,local,1,1
1,22,local,local,bs2,1,0
1,23,bs2,local,local,0,0
2,0,bs1,local,bs1,0,1
2,1,bs1,local,bs2,0,0
2,2,bs1,local,local,0,0
2,3,bs1,local,local,0,0
2,4,local,local,local,1,1
2,5,bs1,local,local,0,0
2,6,local,local,local,1,1
2,7,bs1,local,bs2,0,0
2,8,local,local,local,1,1
2,9,bs1,local,local,0,0
2,10,bs1,local,bs2,0,0
2,11,bs2,local,local,0,0
2,12,local,local,local,1,1
2,13,local,local,bs2,1,0
2,14,local,local,local,1,1
2,15,bs2,local,bs2,0,1
2,16,local,local,bs2,1,0
2,17,local,local,local,1,1
2,18,local,local,local,1,1
2,19,local,local,local,1,1
2,20,local,local,local,1,1
2,21,local,local,bs1,1,0
2,22,local,local,bs2,1,0
2,23,bs1,local,local,0,0
3,0,bs2,local,local,0,0
3,1,local,local,bs1,1,0
3,2,bs1,local,local,0,0
3,3,bs2,local,local,0,0
3,4,bs2,local,bs2,0,1
3,5,bs1,local,local,0,0
3,6,local,local,local,1,1
3,7,bs1,local,bs2,0,0
3,8,local,local,local,1,1
3,9,local,local,local,1,1
3,10,local,local,bs2,1,0
3,11,bs1,local,local,0,0
3,12,local,local,local,1,1
3,13,bs1,local,bs2,0,0
3,14,bs2,local,local,0,0
3,15,bs1,local,local,0,0
3,16,bs2,local,bs2,0,1
3,17,local,local,local,1,1
3,18,bs1,local,local,0,0
3,19,bs2,local,local,0,0
3,20,local,local,local,1,1
3,21,local,local,local,1,1
3,22,local,local,bs1,1,0
3,23,local,local,local,1,1
4,0,bs1,local,local,0,0
4,1,local,local,bs1,1,0
4,2,bs2,local,local,0,0
